annee,type,typeEn,typeNum,ageM,pHorsM
1957,Âge moyen au premier mariage,Mean age at first marriage,2,23.3,
1958,Âge moyen au premier mariage,Mean age at first marriage,2,23.2,
1959,Âge moyen au premier mariage,Mean age at first marriage,2,23.1,
1960,Âge moyen au premier mariage,Mean age at first marriage,2,23.1,
1961,Âge moyen au premier mariage,Mean age at first marriage,2,23,
1962,Âge moyen au premier mariage,Mean age at first marriage,2,23,
1963,Âge moyen au premier mariage,Mean age at first marriage,2,22.8,
1964,Âge moyen au premier mariage,Mean age at first marriage,2,22.7,
1965,Âge moyen au premier mariage,Mean age at first marriage,2,22.7,
1966,Âge moyen au premier mariage,Mean age at first marriage,2,22.7,
1967,Âge moyen au premier mariage,Mean age at first marriage,2,22.7,
1968,Âge moyen au premier mariage,Mean age at first marriage,2,22.7,
1969,Âge moyen au premier mariage,Mean age at first marriage,2,22.7,
1970,Âge moyen au premier mariage,Mean age at first marriage,2,22.6,
1971,Âge moyen au premier mariage,Mean age at first marriage,2,22.6,
1972,Âge moyen au premier mariage,Mean age at first marriage,2,22.5,
1973,Âge moyen au premier mariage,Mean age at first marriage,2,22.5,
1974,Âge moyen au premier mariage,Mean age at first marriage,2,22.5,
1975,Âge moyen au premier mariage,Mean age at first marriage,2,22.5,
1976,Âge moyen au premier mariage,Mean age at first marriage,2,22.6,
1977,Âge moyen au premier mariage,Mean age at first marriage,2,22.7,
1978,Âge moyen au premier mariage,Mean age at first marriage,2,22.8,
1979,Âge moyen au premier mariage,Mean age at first marriage,2,22.9,
1980,Âge moyen au premier mariage,Mean age at first marriage,2,23,
1981,Âge moyen au premier mariage,Mean age at first marriage,2,23.1,
1982,Âge moyen au premier mariage,Mean age at first marriage,2,23.3,
1983,Âge moyen au premier mariage,Mean age at first marriage,2,23.6,
1984,Âge moyen au premier mariage,Mean age at first marriage,2,23.9,
1985,Âge moyen au premier mariage,Mean age at first marriage,2,24.2,
1986,Âge moyen au premier mariage,Mean age at first marriage,2,24.5,
1987,Âge moyen au premier mariage,Mean age at first marriage,2,24.8,
1988,Âge moyen au premier mariage,Mean age at first marriage,2,25,
1989,Âge moyen au premier mariage,Mean age at first marriage,2,25.3,
1990,Âge moyen au premier mariage,Mean age at first marriage,2,25.6,
1991,Âge moyen au premier mariage,Mean age at first marriage,2,25.8,
1992,Âge moyen au premier mariage,Mean age at first marriage,2,26.1,
1993,Âge moyen au premier mariage,Mean age at first marriage,2,26.4,
1994,Âge moyen au premier mariage,Mean age at first marriage,2,26.7,
1995,Âge moyen au premier mariage,Mean age at first marriage,2,26.9,
1996,Âge moyen au premier mariage,Mean age at first marriage,2,27.4,
1997,Âge moyen au premier mariage,Mean age at first marriage,2,27.6,
1998,Âge moyen au premier mariage,Mean age at first marriage,2,27.7,
1999,Âge moyen au premier mariage,Mean age at first marriage,2,27.8,
2000,Âge moyen au premier mariage,Mean age at first marriage,2,28,
2001,Âge moyen au premier mariage,Mean age at first marriage,2,28.1,
2002,Âge moyen au premier mariage,Mean age at first marriage,2,28.3,
2003,Âge moyen au premier mariage,Mean age at first marriage,2,28.5,
2004,Âge moyen au premier mariage,Mean age at first marriage,2,28.8,
2005,Âge moyen au premier mariage,Mean age at first marriage,2,29.1,
2006,Âge moyen au premier mariage,Mean age at first marriage,2,29.2,
2007,Âge moyen au premier mariage,Mean age at first marriage,2,29.5,
2008,Âge moyen au premier mariage,Mean age at first marriage,2,29.6,
2009,Âge moyen au premier mariage,Mean age at first marriage,2,29.8,
2010,Âge moyen au premier mariage,Mean age at first marriage,2,30,
2011,Âge moyen au premier mariage,Mean age at first marriage,2,30.1,
2012,Âge moyen au premier mariage,Mean age at first marriage,2,30.2,
2013,Âge moyen au premier mariage,Mean age at first marriage,2,30.6,
2014,Âge moyen au premier mariage,Mean age at first marriage,2,30.9,
2015,Âge moyen au premier mariage,Mean age at first marriage,2,31,
2016,Âge moyen au premier mariage,Mean age at first marriage,2,31.2,
2017,Âge moyen au premier mariage,Mean age at first marriage,2,31.4,
2018,Âge moyen au premier mariage,Mean age at first marriage,2,31.6,
2019,Âge moyen au premier mariage,Mean age at first marriage,2,31.6,
2020,Âge moyen au premier mariage,Mean age at first marriage,2,31.5,
2021,Âge moyen au premier mariage,Mean age at first marriage,2,31.9,
2022,Âge moyen au premier mariage,Mean age at first marriage,2,32.3,
