age,j,c,structure,structureEn
21,8,.00050289591,Autre cas,Other case
21,9,.00020903871,Hors logement ordinaire,Not in ordinary housing
22,1,.0011632112,Personne vivant seule,Living alone
22,2,.00086960074,Famille monoparentale,Single-parent family
22,4,.00078296108,Couple sans enfant,childless couple
22,6,.0020079876,Couple avec enfant,Couple with child
22,8,.00051727192,Autre cas,Other case
22,9,.00016054467,Hors logement ordinaire,Not in ordinary housing
23,1,.0011843262,Personne vivant seule,Living alone
23,2,.00080463826,Famille monoparentale,Single-parent family
23,4,.0010336461,Couple sans enfant,childless couple
23,6,.0018650218,Couple avec enfant,Couple with child
23,8,.00051120785,Autre cas,Other case
23,9,.00013473694,Hors logement ordinaire,Not in ordinary housing
24,1,.0011378826,Personne vivant seule,Living alone
24,2,.00073129812,Famille monoparentale,Single-parent family
24,4,.0012731192,Couple sans enfant,childless couple
24,6,.0017743859,Couple avec enfant,Couple with child
24,8,.0004821929,Autre cas,Other case
24,9,.00011671081,Hors logement ordinaire,Not in ordinary housing
25,1,.001103312,Personne vivant seule,Living alone
25,2,.00068594899,Famille monoparentale,Single-parent family
25,4,.0015029991,Couple sans enfant,childless couple
25,6,.0017411156,Couple avec enfant,Couple with child
25,8,.00045545964,Autre cas,Other case
25,9,.00011044352,Hors logement ordinaire,Not in ordinary housing
26,1,.0010856043,Personne vivant seule,Living alone
26,2,.0006455527,Famille monoparentale,Single-parent family
26,4,.0016473302,Couple sans enfant,childless couple
26,6,.0017840576,Couple avec enfant,Couple with child
26,8,.00042809016,Autre cas,Other case
26,9,.000090515787,Hors logement ordinaire,Not in ordinary housing
27,1,.0010474563,Personne vivant seule,Living alone
27,2,.00062312372,Famille monoparentale,Single-parent family
27,4,.0017230128,Couple sans enfant,childless couple
27,6,.0019384142,Couple avec enfant,Couple with child
27,8,.00039703076,Autre cas,Other case
27,9,.000073410236,Hors logement ordinaire,Not in ordinary housing
28,1,.00099702564,Personne vivant seule,Living alone
28,2,.0005997587,Famille monoparentale,Single-parent family
28,4,.0016804078,Couple sans enfant,childless couple
28,6,.0021688845,Couple avec enfant,Couple with child
28,8,.00035750782,Autre cas,Other case
28,9,.0000640648,Hors logement ordinaire,Not in ordinary housing
29,1,.00093251216,Personne vivant seule,Living alone
29,2,.00063620397,Famille monoparentale,Single-parent family
29,4,.0015772859,Couple sans enfant,childless couple
29,6,.0025137735,Couple avec enfant,Couple with child
29,8,.00031926672,Autre cas,Other case
29,9,.000059798978,Hors logement ordinaire,Not in ordinary housing
30,1,.00089029624,Personne vivant seule,Living alone
30,2,.00064202951,Famille monoparentale,Single-parent family
30,4,.0013907197,Couple sans enfant,childless couple
30,6,.0028282625,Couple avec enfant,Couple with child
30,8,.00028251752,Autre cas,Other case
30,9,.000058132293,Hors logement ordinaire,Not in ordinary housing
31,1,.00082484528,Personne vivant seule,Living alone
31,2,.00067385432,Famille monoparentale,Single-parent family
31,4,.0012084354,Couple sans enfant,childless couple
31,6,.0031606697,Couple avec enfant,Couple with child
31,8,.00025038805,Autre cas,Other case
31,9,.000051466755,Hors logement ordinaire,Not in ordinary housing
32,1,.00074548955,Personne vivant seule,Living alone
32,2,.00069834956,Famille monoparentale,Single-parent family
32,4,.0010167805,Couple sans enfant,childless couple
32,6,.003421166,Couple avec enfant,Couple with child
32,8,.00022806347,Autre cas,Other case
32,9,.000046881942,Hors logement ordinaire,Not in ordinary housing
33,1,.0007144885,Personne vivant seule,Living alone
33,2,.00074062997,Famille monoparentale,Single-parent family
33,4,.00085704873,Couple sans enfant,childless couple
33,6,.0036607569,Couple avec enfant,Couple with child
33,8,.00020979009,Autre cas,Other case
33,9,.000045959267,Hors logement ordinaire,Not in ordinary housing
34,1,.00067836966,Personne vivant seule,Living alone
34,2,.00078973448,Famille monoparentale,Single-parent family
34,4,.00074520445,Couple sans enfant,childless couple
34,6,.0039080502,Couple avec enfant,Couple with child
34,8,.00019501582,Autre cas,Other case
34,9,.000047050838,Hors logement ordinaire,Not in ordinary housing
35,1,.00063769135,Personne vivant seule,Living alone
35,2,.00082132721,Famille monoparentale,Single-parent family
35,4,.00064377848,Couple sans enfant,childless couple
35,6,.0040864823,Couple avec enfant,Couple with child
35,8,.00018343204,Autre cas,Other case
35,9,.000047957874,Hors logement ordinaire,Not in ordinary housing
36,1,.00060256047,Personne vivant seule,Living alone
36,2,.00085994642,Famille monoparentale,Single-parent family
36,4,.00056311558,Couple sans enfant,childless couple
36,6,.0041822786,Couple avec enfant,Couple with child
36,8,.00016661691,Autre cas,Other case
36,9,.000042280135,Hors logement ordinaire,Not in ordinary housing
37,1,.00057709002,Personne vivant seule,Living alone
37,2,.00090623007,Famille monoparentale,Single-parent family
37,4,.00050111586,Couple sans enfant,childless couple
37,6,.0042466656,Couple avec enfant,Couple with child
37,8,.00016074696,Autre cas,Other case
37,9,.000045432429,Hors logement ordinaire,Not in ordinary housing
38,1,.00054495921,Personne vivant seule,Living alone
38,2,.00093446189,Famille monoparentale,Single-parent family
38,4,.00046455316,Couple sans enfant,childless couple
38,6,.0042497632,Couple avec enfant,Couple with child
38,8,.00015156441,Autre cas,Other case
38,9,.000041040425,Hors logement ordinaire,Not in ordinary housing
39,1,.00053340202,Personne vivant seule,Living alone
39,2,.00096165057,Famille monoparentale,Single-parent family
39,4,.00041317468,Couple sans enfant,childless couple
39,6,.004157084,Couple avec enfant,Couple with child
39,8,.00014598247,Autre cas,Other case
39,9,.000039339149,Hors logement ordinaire,Not in ordinary housing
40,1,.00052811607,Personne vivant seule,Living alone
40,2,.00099037099,Famille monoparentale,Single-parent family
40,4,.00040096961,Couple sans enfant,childless couple
40,6,.0041061644,Couple avec enfant,Couple with child
40,8,.00014716608,Autre cas,Other case
40,9,.000038547165,Hors logement ordinaire,Not in ordinary housing
41,1,.00051061169,Personne vivant seule,Living alone
41,2,.0010273674,Famille monoparentale,Single-parent family
41,4,.00038483652,Couple sans enfant,childless couple
41,6,.0041093095,Couple avec enfant,Couple with child
41,8,.00013475318,Autre cas,Other case
41,9,.000038208625,Hors logement ordinaire,Not in ordinary housing
42,1,.00052073644,Personne vivant seule,Living alone
42,2,.001090069,Famille monoparentale,Single-parent family
42,4,.00040655833,Couple sans enfant,childless couple
42,6,.0041673118,Couple avec enfant,Couple with child
42,8,.0001344772,Autre cas,Other case
42,9,.000040181065,Hors logement ordinaire,Not in ordinary housing
43,1,.00055071875,Personne vivant seule,Living alone
43,2,.001168291,Famille monoparentale,Single-parent family
43,4,.00043525128,Couple sans enfant,childless couple
43,6,.0042247549,Couple avec enfant,Couple with child
43,8,.00014387979,Autre cas,Other case
43,9,.000041235337,Hors logement ordinaire,Not in ordinary housing
44,1,.00057628256,Personne vivant seule,Living alone
44,2,.0012247469,Famille monoparentale,Single-parent family
44,4,.00047829421,Couple sans enfant,childless couple
44,6,.0042901323,Couple avec enfant,Couple with child
44,8,.00014086075,Autre cas,Other case
44,9,.000042589199,Hors logement ordinaire,Not in ordinary housing
45,1,.00061357452,Personne vivant seule,Living alone
45,2,.0012970098,Famille monoparentale,Single-parent family
45,4,.00052808435,Couple sans enfant,childless couple
45,6,.0042391913,Couple avec enfant,Couple with child
45,8,.00015257942,Autre cas,Other case
45,9,.000044501481,Hors logement ordinaire,Not in ordinary housing
46,1,.00065611122,Personne vivant seule,Living alone
46,2,.0013072976,Famille monoparentale,Single-parent family
46,4,.0006101625,Couple sans enfant,childless couple
46,6,.0041393046,Couple avec enfant,Couple with child
46,8,.00015828543,Autre cas,Other case
46,9,.000045214805,Hors logement ordinaire,Not in ordinary housing
47,1,.00068422349,Personne vivant seule,Living alone
47,2,.0013237484,Famille monoparentale,Single-parent family
47,4,.00071878004,Couple sans enfant,childless couple
47,6,.0039434824,Couple avec enfant,Couple with child
47,8,.0001620336,Autre cas,Other case
47,9,.00004202747,Hors logement ordinaire,Not in ordinary housing
48,1,.00072872179,Personne vivant seule,Living alone
48,2,.001244779,Famille monoparentale,Single-parent family
48,4,.00086515053,Couple sans enfant,childless couple
48,6,.0037395707,Couple avec enfant,Couple with child
48,8,.00016768502,Autre cas,Other case
48,9,.000044020213,Hors logement ordinaire,Not in ordinary housing
49,1,.00078849657,Personne vivant seule,Living alone
49,2,.0012559397,Famille monoparentale,Single-parent family
49,4,.0010270751,Couple sans enfant,childless couple
49,6,.0035095087,Couple avec enfant,Couple with child
49,8,.00017713122,Autre cas,Other case
49,9,.000048723388,Hors logement ordinaire,Not in ordinary housing
50,1,.0008478901,Personne vivant seule,Living alone
50,2,.001213475,Famille monoparentale,Single-parent family
50,4,.0012334274,Couple sans enfant,childless couple
50,6,.0033210707,Couple avec enfant,Couple with child
50,8,.00018468243,Autre cas,Other case
50,9,.000044973873,Hors logement ordinaire,Not in ordinary housing
51,1,.0009173592,Personne vivant seule,Living alone
51,2,.0011713388,Famille monoparentale,Single-parent family
51,4,.0014701311,Couple sans enfant,childless couple
51,6,.0030675747,Couple avec enfant,Couple with child
51,8,.0001898186,Autre cas,Other case
51,9,.000046110414,Hors logement ordinaire,Not in ordinary housing
52,1,.0010014166,Personne vivant seule,Living alone
52,2,.0010978467,Famille monoparentale,Single-parent family
52,4,.0017203201,Couple sans enfant,childless couple
52,6,.002829433,Couple avec enfant,Couple with child
52,8,.0002017755,Autre cas,Other case
52,9,.000048373266,Hors logement ordinaire,Not in ordinary housing
53,1,.0010730735,Personne vivant seule,Living alone
53,2,.0010185865,Famille monoparentale,Single-parent family
53,4,.0019702672,Couple sans enfant,childless couple
53,6,.0025452606,Couple avec enfant,Couple with child
53,8,.00020869009,Autre cas,Other case
53,9,.000043295608,Hors logement ordinaire,Not in ordinary housing
54,1,.0011492502,Personne vivant seule,Living alone
54,2,.00093186426,Famille monoparentale,Single-parent family
54,4,.0022381244,Couple sans enfant,childless couple
54,6,.0022516875,Couple avec enfant,Couple with child
54,8,.00021163093,Autre cas,Other case
54,9,.000048740683,Hors logement ordinaire,Not in ordinary housing
55,1,.0012226622,Personne vivant seule,Living alone
55,2,.00086359185,Famille monoparentale,Single-parent family
55,4,.0024846781,Couple sans enfant,childless couple
55,6,.001989007,Couple avec enfant,Couple with child
55,8,.00021173591,Autre cas,Other case
55,9,.000047217927,Hors logement ordinaire,Not in ordinary housing
56,1,.0012831005,Personne vivant seule,Living alone
56,2,.00077553967,Famille monoparentale,Single-parent family
56,4,.0026969113,Couple sans enfant,childless couple
56,6,.001731676,Couple avec enfant,Couple with child
56,8,.00021304541,Autre cas,Other case
56,9,.000046230129,Hors logement ordinaire,Not in ordinary housing
57,1,.0013454451,Personne vivant seule,Living alone
57,2,.00070449157,Famille monoparentale,Single-parent family
57,4,.0028655729,Couple sans enfant,childless couple
57,6,.0014896281,Couple avec enfant,Couple with child
57,8,.00021283154,Autre cas,Other case
57,9,.000042577169,Hors logement ordinaire,Not in ordinary housing
58,1,.0014180532,Personne vivant seule,Living alone
58,2,.0006372474,Famille monoparentale,Single-parent family
58,4,.0030455375,Couple sans enfant,childless couple
58,6,.0012811125,Couple avec enfant,Couple with child
58,8,.00021048552,Autre cas,Other case
58,9,.000041842333,Hors logement ordinaire,Not in ordinary housing
59,1,.0014779873,Personne vivant seule,Living alone
59,2,.00057609804,Famille monoparentale,Single-parent family
59,4,.0031847765,Couple sans enfant,childless couple
59,6,.0011062078,Couple avec enfant,Couple with child
59,8,.00020748889,Autre cas,Other case
59,9,.000046439778,Hors logement ordinaire,Not in ordinary housing
60,1,.0015312611,Personne vivant seule,Living alone
60,2,.00052226346,Famille monoparentale,Single-parent family
60,4,.0033019057,Couple sans enfant,childless couple
60,6,.00094461587,Couple avec enfant,Couple with child
60,8,.00020628812,Autre cas,Other case
60,9,.000046069956,Hors logement ordinaire,Not in ordinary housing
61,1,.0015841624,Personne vivant seule,Living alone
61,2,.00045968546,Famille monoparentale,Single-parent family
61,4,.0033800772,Couple sans enfant,childless couple
61,6,.00080306799,Couple avec enfant,Couple with child
61,8,.00021564019,Autre cas,Other case
61,9,.000046225316,Hors logement ordinaire,Not in ordinary housing
62,1,.0016259487,Personne vivant seule,Living alone
62,2,.00042160059,Famille monoparentale,Single-parent family
62,4,.0034433203,Couple sans enfant,childless couple
62,6,.00068899553,Couple avec enfant,Couple with child
62,8,.00021360262,Autre cas,Other case
62,9,.000044671127,Hors logement ordinaire,Not in ordinary housing
63,1,.001669676,Personne vivant seule,Living alone
63,2,.00037904087,Famille monoparentale,Single-parent family
63,4,.0034878273,Couple sans enfant,childless couple
63,6,.00061027228,Couple avec enfant,Couple with child
63,8,.00020547735,Autre cas,Other case
63,9,.000047251313,Hors logement ordinaire,Not in ordinary housing
64,1,.0017045538,Personne vivant seule,Living alone
64,2,.00035603574,Famille monoparentale,Single-parent family
64,4,.0035227814,Couple sans enfant,childless couple
64,6,.00051789504,Couple avec enfant,Couple with child
64,8,.00020170843,Autre cas,Other case
64,9,.000048307695,Hors logement ordinaire,Not in ordinary housing
65,1,.001752109,Personne vivant seule,Living alone
65,2,.00032839979,Famille monoparentale,Single-parent family
65,4,.0035648171,Couple sans enfant,childless couple
65,6,.0004542649,Couple avec enfant,Couple with child
65,8,.00019114192,Autre cas,Other case
65,9,.000055301094,Hors logement ordinaire,Not in ordinary housing
66,1,.001797957,Personne vivant seule,Living alone
66,2,.00029724772,Famille monoparentale,Single-parent family
66,4,.0035750286,Couple sans enfant,childless couple
66,6,.00040426059,Couple avec enfant,Couple with child
66,8,.0001916638,Autre cas,Other case
66,9,.000049922193,Hors logement ordinaire,Not in ordinary housing
67,1,.0018586067,Personne vivant seule,Living alone
67,2,.00027951293,Famille monoparentale,Single-parent family
67,4,.0035887805,Couple sans enfant,childless couple
67,6,.00035989791,Couple avec enfant,Couple with child
67,8,.00018459656,Autre cas,Other case
67,9,.000057206758,Hors logement ordinaire,Not in ordinary housing
68,1,.0018853459,Personne vivant seule,Living alone
68,2,.00026096823,Famille monoparentale,Single-parent family
68,4,.0035524338,Couple sans enfant,childless couple
68,6,.0003285759,Couple avec enfant,Couple with child
68,8,.00017362504,Autre cas,Other case
68,9,.000053797889,Hors logement ordinaire,Not in ordinary housing
69,1,.001897049,Personne vivant seule,Living alone
69,2,.00025410432,Famille monoparentale,Single-parent family
69,4,.0034615237,Couple sans enfant,childless couple
69,6,.00029006874,Couple avec enfant,Couple with child
69,8,.00017750706,Autre cas,Other case
69,9,.00006352608,Hors logement ordinaire,Not in ordinary housing
70,1,.0018605328,Personne vivant seule,Living alone
70,2,.00022593085,Famille monoparentale,Single-parent family
70,4,.0032233957,Couple sans enfant,childless couple
70,6,.00025808366,Couple avec enfant,Couple with child
70,8,.00016198623,Autre cas,Other case
70,9,.000058581074,Hors logement ordinaire,Not in ordinary housing
71,1,.0017492489,Personne vivant seule,Living alone
71,2,.00020244913,Famille monoparentale,Single-parent family
71,4,.0029439651,Couple sans enfant,childless couple
71,6,.00023036933,Couple avec enfant,Couple with child
71,8,.00014655442,Autre cas,Other case
71,9,.000066007313,Hors logement ordinaire,Not in ordinary housing
72,1,.0016795062,Personne vivant seule,Living alone
72,2,.00019770881,Famille monoparentale,Single-parent family
72,4,.0026827855,Couple sans enfant,childless couple
72,6,.00020331526,Couple avec enfant,Couple with child
72,8,.00012980652,Autre cas,Other case
72,9,.000060439212,Hors logement ordinaire,Not in ordinary housing
73,1,.0015661457,Personne vivant seule,Living alone
73,2,.00018857648,Famille monoparentale,Single-parent family
73,4,.0023806673,Couple sans enfant,childless couple
73,6,.0001793455,Couple avec enfant,Couple with child
73,8,.00012653916,Autre cas,Other case
73,9,.00006221659,Hors logement ordinaire,Not in ordinary housing
74,1,.0014473662,Personne vivant seule,Living alone
74,2,.00017496778,Famille monoparentale,Single-parent family
74,4,.0020779979,Couple sans enfant,childless couple
74,6,.00015737284,Couple avec enfant,Couple with child
74,8,.00010695268,Autre cas,Other case
74,9,.000061432424,Hors logement ordinaire,Not in ordinary housing
75,1,.0014373589,Personne vivant seule,Living alone
75,2,.00017079775,Famille monoparentale,Single-parent family
75,4,.0019583988,Couple sans enfant,childless couple
75,6,.00014042534,Couple avec enfant,Couple with child
75,8,.00010313669,Autre cas,Other case
75,9,.000074519405,Hors logement ordinaire,Not in ordinary housing
76,1,.0014588662,Personne vivant seule,Living alone
76,2,.00016580537,Famille monoparentale,Single-parent family
76,4,.0018335349,Couple sans enfant,childless couple
76,6,.00013809271,Couple avec enfant,Couple with child
76,8,.00010067863,Autre cas,Other case
76,9,.000075181444,Hors logement ordinaire,Not in ordinary housing
77,1,.001473414,Personne vivant seule,Living alone
77,2,.00016961189,Famille monoparentale,Single-parent family
77,4,.0017000991,Couple sans enfant,childless couple
77,6,.00012673844,Couple avec enfant,Couple with child
77,8,.000098105207,Autre cas,Other case
77,9,.000092417693,Hors logement ordinaire,Not in ordinary housing
78,1,.0014935002,Personne vivant seule,Living alone
78,2,.00017930444,Famille monoparentale,Single-parent family
78,4,.0016085537,Couple sans enfant,childless couple
78,6,.00012908521,Couple avec enfant,Couple with child
78,8,.000094237934,Autre cas,Other case
78,9,.00010690727,Hors logement ordinaire,Not in ordinary housing
79,1,.0015757682,Personne vivant seule,Living alone
79,2,.000192329,Famille monoparentale,Single-parent family
79,4,.0015559922,Couple sans enfant,childless couple
79,6,.00011992386,Couple avec enfant,Couple with child
79,8,.00009425282,Autre cas,Other case
79,9,.00013652108,Hors logement ordinaire,Not in ordinary housing
80,1,.0016450536,Personne vivant seule,Living alone
80,2,.00019158154,Famille monoparentale,Single-parent family
80,4,.0014668879,Couple sans enfant,childless couple
80,6,.00011494802,Couple avec enfant,Couple with child
80,8,.000091123693,Autre cas,Other case
80,9,.00014554647,Hors logement ordinaire,Not in ordinary housing
81,1,.0016897131,Personne vivant seule,Living alone
81,2,.00020333166,Famille monoparentale,Single-parent family
81,4,.0013420486,Couple sans enfant,childless couple
81,6,.000098418481,Couple avec enfant,Couple with child
81,8,.000086994427,Autre cas,Other case
81,9,.00016536833,Hors logement ordinaire,Not in ordinary housing
82,1,.0017097765,Personne vivant seule,Living alone
82,2,.00020483485,Famille monoparentale,Single-parent family
82,4,.0012043925,Couple sans enfant,childless couple
82,6,.000094590912,Couple avec enfant,Couple with child
82,8,.000077625074,Autre cas,Other case
82,9,.00019399659,Hors logement ordinaire,Not in ordinary housing
83,1,.0017560425,Personne vivant seule,Living alone
83,2,.0001981466,Famille monoparentale,Single-parent family
83,4,.0010761224,Couple sans enfant,childless couple
83,6,.000089952555,Couple avec enfant,Couple with child
83,8,.000079756785,Autre cas,Other case
83,9,.00022414446,Hors logement ordinaire,Not in ordinary housing
84,1,.0017427576,Personne vivant seule,Living alone
84,2,.00019955913,Famille monoparentale,Single-parent family
84,4,.00097527268,Couple sans enfant,childless couple
84,6,.000079545476,Couple avec enfant,Couple with child
84,8,.000074165975,Autre cas,Other case
84,9,.00025651231,Hors logement ordinaire,Not in ordinary housing
85,1,.0017279912,Personne vivant seule,Living alone
85,2,.00020586688,Famille monoparentale,Single-parent family
85,4,.00084102829,Couple sans enfant,childless couple
85,6,.000073245254,Couple avec enfant,Couple with child
85,8,.000068996575,Autre cas,Other case
85,9,.00029923522,Hors logement ordinaire,Not in ordinary housing
86,1,.0016743001,Personne vivant seule,Living alone
86,2,.00018956924,Famille monoparentale,Single-parent family
86,4,.00071141275,Couple sans enfant,childless couple
86,6,.000063616317,Couple avec enfant,Couple with child
86,8,.000065985805,Autre cas,Other case
86,9,.00034646923,Hors logement ordinaire,Not in ordinary housing
87,1,.0015760001,Personne vivant seule,Living alone
87,2,.00018069816,Famille monoparentale,Single-parent family
87,4,.00057623547,Couple sans enfant,childless couple
87,6,.000049748334,Couple avec enfant,Couple with child
87,8,.000056891378,Autre cas,Other case
87,9,.00038758651,Hors logement ordinaire,Not in ordinary housing
88,1,.0014607039,Personne vivant seule,Living alone
88,2,.00016509354,Famille monoparentale,Single-parent family
88,4,.00045450972,Couple sans enfant,childless couple
88,6,.000042932552,Couple avec enfant,Couple with child
88,8,.000053525822,Autre cas,Other case
88,9,.00040790797,Hors logement ordinaire,Not in ordinary housing
89,1,.0013219982,Personne vivant seule,Living alone
89,2,.00015286893,Famille monoparentale,Single-parent family
89,4,.00035645204,Couple sans enfant,childless couple
89,6,.000032518554,Couple avec enfant,Couple with child
89,8,.000047222587,Autre cas,Other case
89,9,.00043524028,Hors logement ordinaire,Not in ordinary housing
90,1,.0011530246,Personne vivant seule,Living alone
90,2,.00013722283,Famille monoparentale,Single-parent family
90,4,.00027901903,Couple sans enfant,childless couple
90,6,.000028483588,Couple avec enfant,Couple with child
90,8,.000038008446,Autre cas,Other case
90,9,.00045298954,Hors logement ordinaire,Not in ordinary housing
91,1,.00098923873,Personne vivant seule,Living alone
91,2,.0001191794,Famille monoparentale,Single-parent family
91,4,.00020347377,Couple sans enfant,childless couple
91,6,.000023921335,Couple avec enfant,Couple with child
91,8,.000034529796,Autre cas,Other case
91,9,.00045679754,Hors logement ordinaire,Not in ordinary housing
92,1,.00084401952,Personne vivant seule,Living alone
92,2,.00010191714,Famille monoparentale,Single-parent family
92,4,.00015343548,Couple sans enfant,childless couple
92,6,.000018578679,Couple avec enfant,Couple with child
92,8,.000033110209,Autre cas,Other case
92,9,.00046022265,Hors logement ordinaire,Not in ordinary housing
93,1,.00069209008,Personne vivant seule,Living alone
93,2,.000089821864,Famille monoparentale,Single-parent family
93,4,.00010536405,Couple sans enfant,childless couple
93,6,.000014539502,Couple avec enfant,Couple with child
93,8,.000022665381,Autre cas,Other case
93,9,.00043022638,Hors logement ordinaire,Not in ordinary housing
94,1,.00055506895,Personne vivant seule,Living alone
94,2,.000073352938,Famille monoparentale,Single-parent family
