age,j,c,structure,structureEn
15,9,-.000049201346,Hors logement ordinaire,Not in ordinary housing
16,1,-.000016584432,Personne vivant seule,Living alone
16,2,-.0015953227,Famille monoparentale,Single-parent family
16,4,-.000016275369,Couple sans enfant,childless couple
16,6,-.0045428975,Couple avec enfant,Couple with child
16,8,-.00018022906,Autre cas,Other case
16,9,-.000063357642,Hors logement ordinaire,Not in ordinary housing
17,1,-.0000306732,Personne vivant seule,Living alone
17,2,-.0016229048,Famille monoparentale,Single-parent family
17,4,-.000015391042,Couple sans enfant,childless couple
17,6,-.0044445461,Couple avec enfant,Couple with child
17,8,-.00019893333,Autre cas,Other case
17,9,-.000082087165,Hors logement ordinaire,Not in ordinary housing
18,1,-.000086027234,Personne vivant seule,Living alone
18,2,-.0016604434,Famille monoparentale,Single-parent family
18,4,-.000030410307,Couple sans enfant,childless couple
18,6,-.0043480946,Couple avec enfant,Couple with child
18,8,-.00016245365,Autre cas,Other case
18,9,-.00012544954,Hors logement ordinaire,Not in ordinary housing
19,1,-.00067533285,Personne vivant seule,Living alone
19,2,-.0013953847,Famille monoparentale,Single-parent family
19,4,-.000086154469,Couple sans enfant,childless couple
19,6,-.0032406913,Couple avec enfant,Couple with child
19,8,-.00032505905,Autre cas,Other case
19,9,-.00062885968,Hors logement ordinaire,Not in ordinary housing
20,1,-.00086288573,Personne vivant seule,Living alone
20,2,-.0012907257,Famille monoparentale,Single-parent family
20,4,-.00015828498,Couple sans enfant,childless couple
20,6,-.0029257543,Couple avec enfant,Couple with child
20,8,-.00039150222,Autre cas,Other case
20,9,-.00046459888,Hors logement ordinaire,Not in ordinary housing
21,1,-.0010008183,Personne vivant seule,Living alone
21,2,-.0011400899,Famille monoparentale,Single-parent family
21,4,-.00028593108,Couple sans enfant,childless couple
21,6,-.0026421146,Couple avec enfant,Couple with child
21,8,-.00046757385,Autre cas,Other case
21,9,-.00036856177,Hors logement ordinaire,Not in ordinary housing
22,1,-.0010279659,Personne vivant seule,Living alone
22,2,-.0010035861,Famille monoparentale,Single-parent family
22,4,-.00044910557,Couple sans enfant,childless couple
22,6,-.0023877649,Couple avec enfant,Couple with child
22,8,-.00049460417,Autre cas,Other case
22,9,-.00033146728,Hors logement ordinaire,Not in ordinary housing
23,1,-.0010699597,Personne vivant seule,Living alone
23,2,-.00090428308,Famille monoparentale,Single-parent family
23,4,-.0006411231,Couple sans enfant,childless couple
23,6,-.0022043923,Couple avec enfant,Couple with child
23,8,-.00049927679,Autre cas,Other case
23,9,-.00030984066,Hors logement ordinaire,Not in ordinary housing
24,1,-.0011138463,Personne vivant seule,Living alone
24,2,-.00081169134,Famille monoparentale,Single-parent family
24,4,-.00086265866,Couple sans enfant,childless couple
24,6,-.002041762,Couple avec enfant,Couple with child
24,8,-.00051247206,Autre cas,Other case
24,9,-.00027529855,Hors logement ordinaire,Not in ordinary housing
25,1,-.0011544103,Personne vivant seule,Living alone
25,2,-.0007128811,Famille monoparentale,Single-parent family
25,4,-.0011010757,Couple sans enfant,childless couple
25,6,-.0018991339,Couple avec enfant,Couple with child
25,8,-.00047982915,Autre cas,Other case
25,9,-.00026147749,Hors logement ordinaire,Not in ordinary housing
26,1,-.0011940798,Personne vivant seule,Living alone
26,2,-.00061300286,Famille monoparentale,Single-parent family
26,4,-.001325806,Couple sans enfant,childless couple
26,6,-.0018076607,Couple avec enfant,Couple with child
26,8,-.00046804384,Autre cas,Other case
26,9,-.00022590274,Hors logement ordinaire,Not in ordinary housing
27,1,-.0012353888,Personne vivant seule,Living alone
27,2,-.00053558534,Famille monoparentale,Single-parent family
27,4,-.0014853112,Couple sans enfant,childless couple
27,6,-.0017760819,Couple avec enfant,Couple with child
27,8,-.00045207332,Autre cas,Other case
27,9,-.00020130447,Hors logement ordinaire,Not in ordinary housing
28,1,-.0012371143,Personne vivant seule,Living alone
28,2,-.00046375275,Famille monoparentale,Single-parent family
28,4,-.0015916226,Couple sans enfant,childless couple
28,6,-.0018500055,Couple avec enfant,Couple with child
28,8,-.00041235291,Autre cas,Other case
28,9,-.00018907309,Hors logement ordinaire,Not in ordinary housing
29,1,-.0012121405,Personne vivant seule,Living alone
29,2,-.00042202591,Famille monoparentale,Single-parent family
29,4,-.0015806794,Couple sans enfant,childless couple
29,6,-.0020232073,Couple avec enfant,Couple with child
29,8,-.00037542914,Autre cas,Other case
29,9,-.00017088905,Hors logement ordinaire,Not in ordinary housing
30,1,-.0011858761,Personne vivant seule,Living alone
30,2,-.00037332959,Famille monoparentale,Single-parent family
30,4,-.0014917058,Couple sans enfant,childless couple
30,6,-.0022925823,Couple avec enfant,Couple with child
30,8,-.00032927524,Autre cas,Other case
30,9,-.00015182745,Hors logement ordinaire,Not in ordinary housing
31,1,-.0011638771,Personne vivant seule,Living alone
31,2,-.00034815021,Famille monoparentale,Single-parent family
31,4,-.001385509,Couple sans enfant,childless couple
31,6,-.0025505989,Couple avec enfant,Couple with child
31,8,-.0002973243,Autre cas,Other case
31,9,-.00014296464,Hors logement ordinaire,Not in ordinary housing
32,1,-.0011035748,Personne vivant seule,Living alone
32,2,-.00030707731,Famille monoparentale,Single-parent family
32,4,-.0012071416,Couple sans enfant,childless couple
32,6,-.0028196808,Couple avec enfant,Couple with child
32,8,-.00026679563,Autre cas,Other case
32,9,-.00013110036,Hors logement ordinaire,Not in ordinary housing
33,1,-.0010894486,Personne vivant seule,Living alone
33,2,-.00030367204,Famille monoparentale,Single-parent family
33,4,-.0010950428,Couple sans enfant,childless couple
33,6,-.0030824817,Couple avec enfant,Couple with child
33,8,-.00025253539,Autre cas,Other case
33,9,-.00012909558,Hors logement ordinaire,Not in ordinary housing
34,1,-.0010742589,Personne vivant seule,Living alone
34,2,-.00029493691,Famille monoparentale,Single-parent family
34,4,-.00096052577,Couple sans enfant,childless couple
34,6,-.0033382229,Couple avec enfant,Couple with child
34,8,-.0002271438,Autre cas,Other case
34,9,-.00011641167,Hors logement ordinaire,Not in ordinary housing
35,1,-.0010712715,Personne vivant seule,Living alone
35,2,-.00029813882,Famille monoparentale,Single-parent family
35,4,-.00083822658,Couple sans enfant,childless couple
35,6,-.003576403,Couple avec enfant,Couple with child
35,8,-.00022246334,Autre cas,Other case
35,9,-.00011743421,Hors logement ordinaire,Not in ordinary housing
36,1,-.0010559951,Personne vivant seule,Living alone
36,2,-.00029208916,Famille monoparentale,Single-parent family
36,4,-.0007656716,Couple sans enfant,childless couple
36,6,-.003701251,Couple avec enfant,Couple with child
36,8,-.00020096744,Autre cas,Other case
36,9,-.00010970011,Hors logement ordinaire,Not in ordinary housing
37,1,-.0010329705,Personne vivant seule,Living alone
37,2,-.00029949029,Famille monoparentale,Single-parent family
37,4,-.00067937159,Couple sans enfant,childless couple
37,6,-.0038504447,Couple avec enfant,Couple with child
37,8,-.00019439634,Autre cas,Other case
37,9,-.00010648541,Hors logement ordinaire,Not in ordinary housing
38,1,-.0010151954,Personne vivant seule,Living alone
38,2,-.00030285493,Famille monoparentale,Single-parent family
38,4,-.00062284339,Couple sans enfant,childless couple
38,6,-.0039405506,Couple avec enfant,Couple with child
38,8,-.00017911178,Autre cas,Other case
38,9,-.00010609724,Hors logement ordinaire,Not in ordinary housing
39,1,-.0010153563,Personne vivant seule,Living alone
39,2,-.00030469775,Famille monoparentale,Single-parent family
39,4,-.00056297437,Couple sans enfant,childless couple
39,6,-.0039230743,Couple avec enfant,Couple with child
39,8,-.00017197461,Autre cas,Other case
39,9,-.00010579253,Hors logement ordinaire,Not in ordinary housing
40,1,-.0010034825,Personne vivant seule,Living alone
40,2,-.00031907301,Famille monoparentale,Single-parent family
40,4,-.00054205011,Couple sans enfant,childless couple
40,6,-.0039384011,Couple avec enfant,Couple with child
40,8,-.00016585289,Autre cas,Other case
40,9,-.000098207027,Hors logement ordinaire,Not in ordinary housing
41,1,-.00099165912,Personne vivant seule,Living alone
41,2,-.00032363,Famille monoparentale,Single-parent family
41,4,-.00050685753,Couple sans enfant,childless couple
41,6,-.0039877556,Couple avec enfant,Couple with child
41,8,-.00015900914,Autre cas,Other case
41,9,-.00010378881,Hors logement ordinaire,Not in ordinary housing
42,1,-.0010130299,Personne vivant seule,Living alone
42,2,-.00035671299,Famille monoparentale,Single-parent family
42,4,-.00050504779,Couple sans enfant,childless couple
42,6,-.0041148844,Couple avec enfant,Couple with child
42,8,-.00015619538,Autre cas,Other case
42,9,-.000098956145,Hors logement ordinaire,Not in ordinary housing
43,1,-.0010606466,Personne vivant seule,Living alone
43,2,-.00038089842,Famille monoparentale,Single-parent family
43,4,-.00050786603,Couple sans enfant,childless couple
43,6,-.0041939677,Couple avec enfant,Couple with child
43,8,-.00015978789,Autre cas,Other case
43,9,-.000098183868,Hors logement ordinaire,Not in ordinary housing
44,1,-.0011072716,Personne vivant seule,Living alone
44,2,-.00041487176,Famille monoparentale,Single-parent family
44,4,-.0005354638,Couple sans enfant,childless couple
44,6,-.0043109576,Couple avec enfant,Couple with child
44,8,-.00015604169,Autre cas,Other case
44,9,-.000096749689,Hors logement ordinaire,Not in ordinary housing
45,1,-.001136022,Personne vivant seule,Living alone
45,2,-.00043420721,Famille monoparentale,Single-parent family
45,4,-.00055811007,Couple sans enfant,childless couple
45,6,-.0043338966,Couple avec enfant,Couple with child
45,8,-.00016027247,Autre cas,Other case
45,9,-.000099947552,Hors logement ordinaire,Not in ordinary housing
46,1,-.0011807637,Personne vivant seule,Living alone
46,2,-.00045260059,Famille monoparentale,Single-parent family
46,4,-.00059580419,Couple sans enfant,childless couple
46,6,-.0042966111,Couple avec enfant,Couple with child
46,8,-.00016792174,Autre cas,Other case
46,9,-.000099975827,Hors logement ordinaire,Not in ordinary housing
47,1,-.001174047,Personne vivant seule,Living alone
47,2,-.00047043466,Famille monoparentale,Single-parent family
47,4,-.00064348354,Couple sans enfant,childless couple
47,6,-.0041936333,Couple avec enfant,Couple with child
47,8,-.00017233705,Autre cas,Other case
47,9,-.00010524073,Hors logement ordinaire,Not in ordinary housing
48,1,-.0011836177,Personne vivant seule,Living alone
48,2,-.00047485661,Famille monoparentale,Single-parent family
48,4,-.00070823054,Couple sans enfant,childless couple
48,6,-.0040308158,Couple avec enfant,Couple with child
48,8,-.00016983839,Autre cas,Other case
48,9,-.000093414514,Hors logement ordinaire,Not in ordinary housing
49,1,-.0011874526,Personne vivant seule,Living alone
49,2,-.00047337671,Famille monoparentale,Single-parent family
49,4,-.00082707277,Couple sans enfant,childless couple
49,6,-.0038432851,Couple avec enfant,Couple with child
49,8,-.00017053637,Autre cas,Other case
49,9,-.00009630873,Hors logement ordinaire,Not in ordinary housing
50,1,-.0011928633,Personne vivant seule,Living alone
50,2,-.00047113717,Famille monoparentale,Single-parent family
50,4,-.00095744705,Couple sans enfant,childless couple
50,6,-.0037394357,Couple avec enfant,Couple with child
50,8,-.00017675162,Autre cas,Other case
50,9,-.000096370692,Hors logement ordinaire,Not in ordinary housing
51,1,-.0012168626,Personne vivant seule,Living alone
51,2,-.00047495152,Famille monoparentale,Single-parent family
51,4,-.0011226508,Couple sans enfant,childless couple
51,6,-.0035533761,Couple avec enfant,Couple with child
51,8,-.00018137057,Autre cas,Other case
51,9,-.000098446602,Hors logement ordinaire,Not in ordinary housing
52,1,-.0012465456,Personne vivant seule,Living alone
52,2,-.00045344868,Famille monoparentale,Single-parent family
52,4,-.0013152208,Couple sans enfant,childless couple
52,6,-.0033587546,Couple avec enfant,Couple with child
52,8,-.00018567129,Autre cas,Other case
52,9,-.000097707409,Hors logement ordinaire,Not in ordinary housing
53,1,-.0012592433,Personne vivant seule,Living alone
53,2,-.00043919959,Famille monoparentale,Single-parent family
53,4,-.0015076322,Couple sans enfant,childless couple
53,6,-.0031187667,Couple avec enfant,Couple with child
53,8,-.0001878394,Autre cas,Other case
53,9,-.000091510658,Hors logement ordinaire,Not in ordinary housing
54,1,-.0012466204,Personne vivant seule,Living alone
54,2,-.00042686265,Famille monoparentale,Single-parent family
54,4,-.001727941,Couple sans enfant,childless couple
54,6,-.002857279,Couple avec enfant,Couple with child
54,8,-.00019012872,Autre cas,Other case
54,9,-.000088148714,Hors logement ordinaire,Not in ordinary housing
55,1,-.0012684199,Personne vivant seule,Living alone
55,2,-.000401661,Famille monoparentale,Single-parent family
55,4,-.0019576685,Couple sans enfant,childless couple
55,6,-.0025997984,Couple avec enfant,Couple with child
55,8,-.00019287795,Autre cas,Other case
55,9,-.000097277582,Hors logement ordinaire,Not in ordinary housing
56,1,-.001241522,Personne vivant seule,Living alone
56,2,-.00037315543,Famille monoparentale,Single-parent family
56,4,-.0021439472,Couple sans enfant,childless couple
56,6,-.0023433922,Couple avec enfant,Couple with child
56,8,-.00019937835,Autre cas,Other case
56,9,-.000089932408,Hors logement ordinaire,Not in ordinary housing
57,1,-.0012378736,Personne vivant seule,Living alone
57,2,-.00033518957,Famille monoparentale,Single-parent family
57,4,-.0023626848,Couple sans enfant,childless couple
57,6,-.0020872608,Couple avec enfant,Couple with child
57,8,-.00019944181,Autre cas,Other case
57,9,-.000084791878,Hors logement ordinaire,Not in ordinary housing
58,1,-.0012270951,Personne vivant seule,Living alone
58,2,-.00031495278,Famille monoparentale,Single-parent family
58,4,-.0025629164,Couple sans enfant,childless couple
58,6,-.0018359381,Couple avec enfant,Couple with child
58,8,-.00020314592,Autre cas,Other case
58,9,-.00008252557,Hors logement ordinaire,Not in ordinary housing
59,1,-.0012168264,Personne vivant seule,Living alone
59,2,-.00028296525,Famille monoparentale,Single-parent family
59,4,-.0027706509,Couple sans enfant,childless couple
59,6,-.001630277,Couple avec enfant,Couple with child
59,8,-.00019949746,Autre cas,Other case
59,9,-.00008815097,Hors logement ordinaire,Not in ordinary housing
60,1,-.0011892235,Personne vivant seule,Living alone
60,2,-.00025911853,Famille monoparentale,Single-parent family
60,4,-.0029162494,Couple sans enfant,childless couple
60,6,-.0014155629,Couple avec enfant,Couple with child
60,8,-.00020156735,Autre cas,Other case
60,9,-.00008176246,Hors logement ordinaire,Not in ordinary housing
61,1,-.0011599562,Personne vivant seule,Living alone
61,2,-.00022475341,Famille monoparentale,Single-parent family
61,4,-.0030409798,Couple sans enfant,childless couple
61,6,-.0012500915,Couple avec enfant,Couple with child
61,8,-.00019690585,Autre cas,Other case
61,9,-.000084728264,Hors logement ordinaire,Not in ordinary housing
62,1,-.0011376765,Personne vivant seule,Living alone
62,2,-.00020383563,Famille monoparentale,Single-parent family
62,4,-.0031536149,Couple sans enfant,childless couple
62,6,-.0010853834,Couple avec enfant,Couple with child
62,8,-.00019167343,Autre cas,Other case
62,9,-.000085002284,Hors logement ordinaire,Not in ordinary housing
63,1,-.0011342429,Personne vivant seule,Living alone
63,2,-.00018060957,Famille monoparentale,Single-parent family
63,4,-.0033084985,Couple sans enfant,childless couple
63,6,-.00098285812,Couple avec enfant,Couple with child
63,8,-.00019571501,Autre cas,Other case
63,9,-.000089056048,Hors logement ordinaire,Not in ordinary housing
64,1,-.001096998,Personne vivant seule,Living alone
64,2,-.00016475306,Famille monoparentale,Single-parent family
64,4,-.0034002864,Couple sans enfant,childless couple
64,6,-.00085619342,Couple avec enfant,Couple with child
64,8,-.00018944411,Autre cas,Other case
64,9,-.000079185433,Hors logement ordinaire,Not in ordinary housing
65,1,-.0010902529,Personne vivant seule,Living alone
65,2,-.00015250497,Famille monoparentale,Single-parent family
65,4,-.0034741249,Couple sans enfant,childless couple
65,6,-.00074972835,Couple avec enfant,Couple with child
65,8,-.00018083818,Autre cas,Other case
65,9,-.000084565538,Hors logement ordinaire,Not in ordinary housing
66,1,-.0010816286,Personne vivant seule,Living alone
66,2,-.00013165789,Famille monoparentale,Single-parent family
66,4,-.0035427839,Couple sans enfant,childless couple
66,6,-.00068773434,Couple avec enfant,Couple with child
66,8,-.00018112978,Autre cas,Other case
66,9,-.000079967038,Hors logement ordinaire,Not in ordinary housing
67,1,-.001065576,Personne vivant seule,Living alone
67,2,-.00012093256,Famille monoparentale,Single-parent family
67,4,-.0036406494,Couple sans enfant,childless couple
67,6,-.00061396422,Couple avec enfant,Couple with child
67,8,-.00017236217,Autre cas,Other case
67,9,-.000086122884,Hors logement ordinaire,Not in ordinary housing
68,1,-.001048246,Personne vivant seule,Living alone
68,2,-.0001089919,Famille monoparentale,Single-parent family
68,4,-.0036554071,Couple sans enfant,childless couple
68,6,-.00055754161,Couple avec enfant,Couple with child
68,8,-.00017393577,Autre cas,Other case
68,9,-.000086006774,Hors logement ordinaire,Not in ordinary housing
69,1,-.0010020771,Personne vivant seule,Living alone
69,2,-.000096346332,Famille monoparentale,Single-parent family
69,4,-.0036841386,Couple sans enfant,childless couple
69,6,-.00049679272,Couple avec enfant,Couple with child
69,8,-.00016733835,Autre cas,Other case
69,9,-.000082483457,Hors logement ordinaire,Not in ordinary housing
70,1,-.00092993211,Personne vivant seule,Living alone
70,2,-.000084702246,Famille monoparentale,Single-parent family
70,4,-.0034872103,Couple sans enfant,childless couple
70,6,-.00042423839,Couple avec enfant,Couple with child
70,8,-.00014673415,Autre cas,Other case
70,9,-.000083404782,Hors logement ordinaire,Not in ordinary housing
71,1,-.00084916875,Personne vivant seule,Living alone
71,2,-.000071804308,Famille monoparentale,Single-parent family
71,4,-.0031976851,Couple sans enfant,childless couple
71,6,-.00037187361,Couple avec enfant,Couple with child
71,8,-.00013030117,Autre cas,Other case
71,9,-.000082645282,Hors logement ordinaire,Not in ordinary housing
72,1,-.00076177245,Personne vivant seule,Living alone
72,2,-.00006185985,Famille monoparentale,Single-parent family
72,4,-.0029576197,Couple sans enfant,childless couple
72,6,-.00032345735,Couple avec enfant,Couple with child
72,8,-.00012115951,Autre cas,Other case
72,9,-.000074317875,Hors logement ordinaire,Not in ordinary housing
73,1,-.00069365901,Personne vivant seule,Living alone
73,2,-.000052326719,Famille monoparentale,Single-parent family
73,4,-.0026629441,Couple sans enfant,childless couple
73,6,-.00028312168,Couple avec enfant,Couple with child
73,8,-.00010953648,Autre cas,Other case
73,9,-.000077411511,Hors logement ordinaire,Not in ordinary housing
74,1,-.00062580517,Personne vivant seule,Living alone
74,2,-.000043531578,Famille monoparentale,Single-parent family
74,4,-.0023635263,Couple sans enfant,childless couple
74,6,-.00023887526,Couple avec enfant,Couple with child
74,8,-.000095687596,Autre cas,Other case
74,9,-.000070785834,Hors logement ordinaire,Not in ordinary housing
75,1,-.00058256276,Personne vivant seule,Living alone
75,2,-.000042160722,Famille monoparentale,Single-parent family
75,4,-.0022554216,Couple sans enfant,childless couple
75,6,-.00021869005,Couple avec enfant,Couple with child
75,8,-.000094005722,Autre cas,Other case
75,9,-.000071023911,Hors logement ordinaire,Not in ordinary housing
76,1,-.000571204,Personne vivant seule,Living alone
76,2,-.000044154669,Famille monoparentale,Single-parent family
76,4,-.0021262344,Couple sans enfant,childless couple
76,6,-.00019900718,Couple avec enfant,Couple with child
76,8,-.000086195076,Autre cas,Other case
76,9,-.000072955438,Hors logement ordinaire,Not in ordinary housing
77,1,-.00054289424,Personne vivant seule,Living alone
77,2,-.000040007657,Famille monoparentale,Single-parent family
77,4,-.0020272082,Couple sans enfant,childless couple
77,6,-.0001810367,Couple avec enfant,Couple with child
77,8,-.000083435312,Autre cas,Other case
77,9,-.000073772841,Hors logement ordinaire,Not in ordinary housing
78,1,-.00052905077,Personne vivant seule,Living alone
78,2,-.000037418748,Famille monoparentale,Single-parent family
78,4,-.0019555055,Couple sans enfant,childless couple
78,6,-.0001711381,Couple avec enfant,Couple with child
78,8,-.000076532604,Autre cas,Other case
78,9,-.000076929799,Hors logement ordinaire,Not in ordinary housing
79,1,-.00052397238,Personne vivant seule,Living alone
79,2,-.00003525395,Famille monoparentale,Single-parent family
79,4,-.0019137006,Couple sans enfant,childless couple
79,6,-.00016460777,Couple avec enfant,Couple with child
79,8,-.000075873868,Autre cas,Other case
79,9,-.000080128259,Hors logement ordinaire,Not in ordinary housing
80,1,-.00052571937,Personne vivant seule,Living alone
80,2,-.0000363365,Famille monoparentale,Single-parent family
80,4,-.0018123172,Couple sans enfant,childless couple
80,6,-.00014658511,Couple avec enfant,Couple with child
80,8,-.000068777452,Autre cas,Other case
80,9,-.00008551107,Hors logement ordinaire,Not in ordinary housing
81,1,-.00051935209,Personne vivant seule,Living alone
81,2,-.000035762288,Famille monoparentale,Single-parent family
81,4,-.0017112416,Couple sans enfant,childless couple
81,6,-.00013872092,Couple avec enfant,Couple with child
81,8,-.000068973866,Autre cas,Other case
81,9,-.000091297246,Hors logement ordinaire,Not in ordinary housing
82,1,-.00050064211,Personne vivant seule,Living alone
82,2,-.000038975642,Famille monoparentale,Single-parent family
82,4,-.0015740485,Couple sans enfant,childless couple
82,6,-.00012451815,Couple avec enfant,Couple with child
82,8,-.00006451027,Autre cas,Other case
82,9,-.00010046913,Hors logement ordinaire,Not in ordinary housing
83,1,-.00049342687,Personne vivant seule,Living alone
83,2,-.000039102728,Famille monoparentale,Single-parent family
83,4,-.0014667719,Couple sans enfant,childless couple
83,6,-.00011239656,Couple avec enfant,Couple with child
83,8,-.000057637491,Autre cas,Other case
83,9,-.00010376159,Hors logement ordinaire,Not in ordinary housing
84,1,-.00046477304,Personne vivant seule,Living alone
84,2,-.000037147882,Famille monoparentale,Single-parent family
84,4,-.0013248663,Couple sans enfant,childless couple
84,6,-.00010499739,Couple avec enfant,Couple with child
84,8,-.000054469707,Autre cas,Other case
84,9,-.00011508638,Hors logement ordinaire,Not in ordinary housing
85,1,-.000447823,Personne vivant seule,Living alone
85,2,-.000036641199,Famille monoparentale,Single-parent family
85,4,-.0011940601,Couple sans enfant,childless couple
85,6,-.000089663496,Couple avec enfant,Couple with child
85,8,-.000050347058,Autre cas,Other case
85,9,-.00011772899,Hors logement ordinaire,Not in ordinary housing
86,1,-.00042844345,Personne vivant seule,Living alone
86,2,-.000031637384,Famille monoparentale,Single-parent family
86,4,-.0010337241,Couple sans enfant,childless couple
86,6,-.0000817775,Couple avec enfant,Couple with child
86,8,-.000042104475,Autre cas,Other case
86,9,-.00012191254,Hors logement ordinaire,Not in ordinary housing
87,1,-.00039474625,Personne vivant seule,Living alone
87,2,-.000034124478,Famille monoparentale,Single-parent family
87,4,-.00090236519,Couple sans enfant,childless couple
87,6,-.000064513129,Couple avec enfant,Couple with child
87,8,-.000037453938,Autre cas,Other case
87,9,-.0001262459,Hors logement ordinaire,Not in ordinary housing
88,1,-.00034983584,Personne vivant seule,Living alone
88,2,-.000028797163,Famille monoparentale,Single-parent family
88,4,-.0007445768,Couple sans enfant,childless couple
88,6,-.000055475553,Couple avec enfant,Couple with child
88,8,-.000029952353,Autre cas,Other case
88,9,-.00013418242,Hors logement ordinaire,Not in ordinary housing
89,1,-.00031138628,Personne vivant seule,Living alone
89,2,-.000025994088,Famille monoparentale,Single-parent family
89,4,-.00060377066,Couple sans enfant,childless couple
89,6,-.000043119195,Couple avec enfant,Couple with child
89,8,-.000026093199,Autre cas,Other case
89,9,-.00012725143,Hors logement ordinaire,Not in ordinary housing
90,1,-.00027988141,Personne vivant seule,Living alone
90,2,-.000025695252,Famille monoparentale,Single-parent family
90,4,-.00047518389,Couple sans enfant,childless couple
90,6,-.000034563935,Couple avec enfant,Couple with child
90,8,-.000022918197,Autre cas,Other case
