age,j,c,structure
19,6,-.0031300069104574,Couple sans isolé avec enfant
19,7,-.0001106843019921,Couple avec enfant avec isolé(s)
19,8,-.0003250590556873,Autre cas
19,9,-.0006288596820616,Hors logement ordinaire
20,1,-.0008628857368374,Personne vivant seule
20,2,-.0012064825639935,Famille monoparentale
20,3,-.0000842430871641,Famille monoparentale avec isolé(s)
20,4,-.0001145948904533,Couple sans isolé sans enfant
20,5,-.0000436900953225,Couple sans enfant avec isolé(s)
20,6,-.0028170798230573,Couple sans isolé avec enfant
20,7,-.0001086745645254,Couple avec enfant avec isolé(s)
20,8,-.0003915022125867,Autre cas
20,9,-.0004645988743521,Hors logement ordinaire
21,1,-.0010008182768743,Personne vivant seule
21,2,-.0010612201897195,Famille monoparentale
21,3,-.0000788697503229,Famille monoparentale avec isolé(s)
21,4,-.0002332841528883,Couple sans isolé sans enfant
21,5,-.0000526469100217,Couple sans enfant avec isolé(s)
21,6,-.0025368774819792,Couple sans isolé avec enfant
21,7,-.0001052371208723,Couple avec enfant avec isolé(s)
21,8,-.0004675738512905,Autre cas
21,9,-.000368561757993,Hors logement ordinaire
22,1,-.0010279659002094,Personne vivant seule
22,2,-.0009284405064574,Famille monoparentale
22,3,-.0000751456525044,Famille monoparentale avec isolé(s)
22,4,-.0003972274753181,Couple sans isolé sans enfant
22,5,-.0000518780873076,Couple sans enfant avec isolé(s)
22,6,-.0022900208709845,Couple sans isolé avec enfant
22,7,-.000097743956927,Couple avec enfant avec isolé(s)
22,8,-.0004946041659955,Autre cas
22,9,-.0003314672651998,Hors logement ordinaire
23,1,-.0010699596826616,Personne vivant seule
23,2,-.000836481368951,Famille monoparentale
23,3,-.0000678016810734,Famille monoparentale avec isolé(s)
23,4,-.0005855567052184,Couple sans isolé sans enfant
23,5,-.0000555663909543,Couple sans enfant avec isolé(s)
23,6,-.0021130203460466,Couple sans isolé avec enfant
23,7,-.0000913719927733,Couple avec enfant avec isolé(s)
23,8,-.0004992768093654,Autre cas
23,9,-.0003098406672632,Hors logement ordinaire
24,1,-.0011138463451374,Personne vivant seule
24,2,-.000749141033161,Famille monoparentale
24,3,-.0000625503151284,Famille monoparentale avec isolé(s)
24,4,-.0008012711836276,Couple sans isolé sans enfant
24,5,-.0000613874557337,Couple sans enfant avec isolé(s)
24,6,-.0019603200030417,Couple sans isolé avec enfant
24,7,-.0000814419676313,Couple avec enfant avec isolé(s)
24,8,-.0005124720751074,Autre cas
24,9,-.0002752985395486,Hors logement ordinaire
25,1,-.0011544103158636,Personne vivant seule
25,2,-.0006547581188819,Famille monoparentale
25,3,-.000058122967112,Famille monoparentale avec isolé(s)
25,4,-.001040834205744,Couple sans isolé sans enfant
25,5,-.000060241440655,Couple sans enfant avec isolé(s)
25,6,-.0018222743654538,Couple sans isolé avec enfant
25,7,-.0000768595616693,Couple avec enfant avec isolé(s)
25,8,-.0004798291440349,Autre cas
25,9,-.0002614774773838,Hors logement ordinaire
26,1,-.0011940797330874,Personne vivant seule
26,2,-.0005577145546348,Famille monoparentale
26,3,-.0000552883093427,Famille monoparentale avec isolé(s)
26,4,-.0012644837106051,Couple sans isolé sans enfant
26,5,-.0000613223344044,Couple sans enfant avec isolé(s)
26,6,-.0017365328861337,Couple sans isolé avec enfant
26,7,-.0000711278319236,Couple avec enfant avec isolé(s)
26,8,-.0004680438377893,Autre cas
26,9,-.000225902732933,Hors logement ordinaire
27,1,-.0012353887640103,Personne vivant seule
27,2,-.0004870272316568,Famille monoparentale
27,3,-.0000485581026802,Famille monoparentale avec isolé(s)
27,4,-.0014254843911676,Couple sans isolé sans enfant
27,5,-.0000598267997663,Couple sans enfant avec isolé(s)
27,6,-.0017099617294386,Couple sans isolé avec enfant
27,7,-.0000661201069796,Couple avec enfant avec isolé(s)
27,8,-.0004520733205715,Autre cas
27,9,-.000201304466763,Hors logement ordinaire
28,1,-.0012371142536425,Personne vivant seule
28,2,-.0004168983278371,Famille monoparentale
28,3,-.0000468544204215,Famille monoparentale avec isolé(s)
28,4,-.0015341496311609,Couple sans isolé sans enfant
28,5,-.0000574729569848,Couple sans enfant avec isolé(s)
28,6,-.0017862558033525,Couple sans isolé avec enfant
28,7,-.0000637497206733,Couple avec enfant avec isolé(s)
28,8,-.0004123529192122,Autre cas
28,9,-.0001890730869316,Hors logement ordinaire
29,1,-.0012121405998561,Personne vivant seule
29,2,-.0003733927680135,Famille monoparentale
29,3,-.0000486331501243,Famille monoparentale avec isolé(s)
29,4,-.0015262224252843,Couple sans isolé sans enfant
29,5,-.0000544570724215,Couple sans enfant avec isolé(s)
29,6,-.0019628304077258,Couple sans isolé avec enfant
29,7,-.0000603767967667,Couple avec enfant avec isolé(s)
29,8,-.0003754291255154,Autre cas
29,9,-.0001708890461013,Hors logement ordinaire
30,1,-.0011858760999517,Personne vivant seule
30,2,-.0003316175104837,Famille monoparentale
30,3,-.0000417120913443,Famille monoparentale avec isolé(s)
30,4,-.0014405442625454,Couple sans isolé sans enfant
30,5,-.0000511614518942,Couple sans enfant avec isolé(s)
30,6,-.0022317628485522,Couple sans isolé avec enfant
30,7,-.0000608194112518,Couple avec enfant avec isolé(s)
30,8,-.0003292752481695,Autre cas
30,9,-.0001518274464804,Hors logement ordinaire
31,1,-.0011638771223123,Personne vivant seule
31,2,-.0003048141428592,Famille monoparentale
31,3,-.0000433360638927,Famille monoparentale avec isolé(s)
31,4,-.0013415535254344,Couple sans isolé sans enfant
31,5,-.000043955543697,Couple sans enfant avec isolé(s)
31,6,-.0024906490083762,Couple sans isolé avec enfant
31,7,-.0000599498234323,Couple avec enfant avec isolé(s)
31,8,-.0002973242876189,Autre cas
31,9,-.0001429646290809,Hors logement ordinaire
32,1,-.0011035747714071,Personne vivant seule
32,2,-.0002726427022424,Famille monoparentale
32,3,-.0000344345948036,Famille monoparentale avec isolé(s)
32,4,-.0011687252774403,Couple sans isolé sans enfant
32,5,-.0000384163204213,Couple sans enfant avec isolé(s)
32,6,-.0027598192247721,Couple sans isolé avec enfant
32,7,-.000059861691564,Couple avec enfant avec isolé(s)
32,8,-.0002667956190105,Autre cas
32,9,-.0001311003651035,Hors logement ordinaire
33,1,-.0010894485564083,Personne vivant seule
33,2,-.0002698444402276,Famille monoparentale
33,3,-.0000338275978407,Famille monoparentale avec isolé(s)
33,4,-.0010580609780736,Couple sans isolé sans enfant
33,5,-.0000369818464292,Couple sans enfant avec isolé(s)
33,6,-.0030205842778216,Couple sans isolé avec enfant
33,7,-.0000618972970875,Couple avec enfant avec isolé(s)
33,8,-.0002525354014612,Autre cas
33,9,-.0001290955906943,Hors logement ordinaire
34,1,-.001074258893559,Personne vivant seule
34,2,-.0002583957195129,Famille monoparentale
34,3,-.0000365411870879,Famille monoparentale avec isolé(s)
34,4,-.0009229985891864,Couple sans isolé sans enfant
34,5,-.0000375271811635,Couple sans enfant avec isolé(s)
34,6,-.0032768379116698,Couple sans isolé avec enfant
34,7,-.0000613848990071,Couple avec enfant avec isolé(s)
34,8,-.0002271437980812,Autre cas
34,9,-.000116411670263,Hors logement ordinaire
35,1,-.0010712714337792,Personne vivant seule
35,2,-.0002641818924945,Famille monoparentale
35,3,-.0000339569381252,Famille monoparentale avec isolé(s)
35,4,-.0008063007159451,Couple sans isolé sans enfant
35,5,-.000031925844472,Couple sans enfant avec isolé(s)
35,6,-.0035146772489021,Couple sans isolé avec enfant
35,7,-.0000617256956171,Couple avec enfant avec isolé(s)
35,8,-.000222463334136,Autre cas
35,9,-.0001174342104887,Hors logement ordinaire
36,1,-.0010559951430185,Personne vivant seule
36,2,-.000258579202242,Famille monoparentale
36,3,-.0000335099621654,Famille monoparentale avec isolé(s)
36,4,-.0007361560205791,Couple sans isolé sans enfant
36,5,-.0000295156033106,Couple sans enfant avec isolé(s)
36,6,-.0036372119784691,Couple sans isolé avec enfant
36,7,-.0000640389315652,Couple avec enfant avec isolé(s)
36,8,-.000200967430045,Autre cas
36,9,-.0001097001126647,Hors logement ordinaire
37,1,-.0010329704668442,Personne vivant seule
37,2,-.0002677489772235,Famille monoparentale
37,3,-.0000317413089732,Famille monoparentale avec isolé(s)
37,4,-.0006520863396336,Couple sans isolé sans enfant
37,5,-.000027285235382,Couple sans enfant avec isolé(s)
37,6,-.0037866538486795,Couple sans isolé avec enfant
37,7,-.0000637909290895,Couple avec enfant avec isolé(s)
37,8,-.0001943963420114,Autre cas
37,9,-.000106485405013,Hors logement ordinaire
38,1,-.0010151953518667,Personne vivant seule
38,2,-.0002695046963873,Famille monoparentale
38,3,-.0000333502419536,Famille monoparentale avec isolé(s)
38,4,-.0005987718231901,Couple sans isolé sans enfant
38,5,-.0000240715805001,Couple sans enfant avec isolé(s)
38,6,-.0038731670082316,Couple sans isolé avec enfant
38,7,-.000067383581084,Couple avec enfant avec isolé(s)
38,8,-.0001791117794883,Autre cas
38,9,-.0001060972337639,Hors logement ordinaire
39,1,-.0010153562752439,Personne vivant seule
39,2,-.0002706448460344,Famille monoparentale
39,3,-.0000340528905688,Famille monoparentale avec isolé(s)
39,4,-.0005379372219747,Couple sans isolé sans enfant
39,5,-.0000250371207632,Couple sans enfant avec isolé(s)
39,6,-.0038585520072741,Couple sans isolé avec enfant
39,7,-.0000645224536751,Couple avec enfant avec isolé(s)
39,8,-.0001719746021167,Autre cas
39,9,-.0001057925321171,Hors logement ordinaire
40,1,-.0010034825363386,Personne vivant seule
40,2,-.0002838285313091,Famille monoparentale
40,3,-.0000352444755383,Famille monoparentale avec isolé(s)
40,4,-.0005152626669425,Couple sans isolé sans enfant
40,5,-.0000267874256825,Couple sans enfant avec isolé(s)
40,6,-.0038718131463238,Couple sans isolé avec enfant
40,7,-.0000665881383346,Couple avec enfant avec isolé(s)
40,8,-.0001658528963738,Autre cas
40,9,-.0000982070252245,Hors logement ordinaire
41,1,-.000991659179986,Personne vivant seule
41,2,-.0002897058440726,Famille monoparentale
41,3,-.000033924151867,Famille monoparentale avec isolé(s)
41,4,-.000485283694543,Couple sans isolé sans enfant
41,5,-.0000215738090531,Couple sans enfant avec isolé(s)
41,6,-.0039172200083291,Couple sans isolé avec enfant
41,7,-.000070535724133,Couple avec enfant avec isolé(s)
41,8,-.0001590091409732,Autre cas
41,9,-.0001037888104776,Hors logement ordinaire
42,1,-.0010130299548716,Personne vivant seule
42,2,-.0003195291569437,Famille monoparentale
42,3,-.0000371838278269,Famille monoparentale avec isolé(s)
42,4,-.0004810909637869,Couple sans isolé sans enfant
42,5,-.0000239568285965,Couple sans enfant avec isolé(s)
42,6,-.0040424402031512,Couple sans isolé avec enfant
42,7,-.0000724442453073,Couple avec enfant avec isolé(s)
42,8,-.0001561953882033,Autre cas
42,9,-.0000989561461047,Hors logement ordinaire
43,1,-.0010606465805974,Personne vivant seule
43,2,-.0003440069561744,Famille monoparentale
43,3,-.0000368914586257,Famille monoparentale avec isolé(s)
43,4,-.0004830510706792,Couple sans isolé sans enfant
43,5,-.0000248149863444,Couple sans enfant avec isolé(s)
43,6,-.004118815039545,Couple sans isolé avec enfant
43,7,-.00007515242031,Couple avec enfant avec isolé(s)
43,8,-.0001597878898022,Autre cas
43,9,-.0000981838642899,Hors logement ordinaire
44,1,-.0011072716476076,Personne vivant seule
44,2,-.0003749179306004,Famille monoparentale
44,3,-.000039953815454,Famille monoparentale avec isolé(s)
44,4,-.0005096888526605,Couple sans isolé sans enfant
44,5,-.0000257749619673,Couple sans enfant avec isolé(s)
44,6,-.0042329501704058,Couple sans isolé avec enfant
44,7,-.0000780075318917,Couple avec enfant avec isolé(s)
44,8,-.0001560416838188,Autre cas
44,9,-.0000967496910891,Hors logement ordinaire
45,1,-.0011360220377003,Personne vivant seule
45,2,-.0003958963231579,Famille monoparentale
45,3,-.0000383108930499,Famille monoparentale avec isolé(s)
45,4,-.0005323246056073,Couple sans isolé sans enfant
45,5,-.0000257854896649,Couple sans enfant avec isolé(s)
45,6,-.0042545026232724,Couple sans isolé avec enfant
45,7,-.0000793940296621,Couple avec enfant avec isolé(s)
45,8,-.0001602724646819,Autre cas
45,9,-.0000999475544247,Hors logement ordinaire
46,1,-.0011807636996147,Personne vivant seule
46,2,-.00041270980816,Famille monoparentale
46,3,-.0000398907996642,Famille monoparentale avec isolé(s)
46,4,-.0005660118842789,Couple sans isolé sans enfant
46,5,-.0000297923313611,Couple sans enfant avec isolé(s)
46,6,-.0042124471785915,Couple sans isolé avec enfant
46,7,-.0000841638286409,Couple avec enfant avec isolé(s)
46,8,-.0001679217393426,Autre cas
46,9,-.0000999758288124,Hors logement ordinaire
47,1,-.0011740470285633,Personne vivant seule
47,2,-.0004304903373819,Famille monoparentale
47,3,-.0000399443405262,Famille monoparentale avec isolé(s)
47,4,-.0006144486176457,Couple sans isolé sans enfant
47,5,-.0000290349387186,Couple sans enfant avec isolé(s)
47,6,-.0041054972013242,Couple sans isolé avec enfant
47,7,-.0000881360793308,Couple avec enfant avec isolé(s)
47,8,-.0001723370557046,Autre cas
47,9,-.0001052407303686,Hors logement ordinaire
48,1,-.0011836177584267,Personne vivant seule
48,2,-.0004334623064067,Famille monoparentale
48,3,-.0000413943052733,Famille monoparentale avec isolé(s)
48,4,-.0006743963355384,Couple sans isolé sans enfant
48,5,-.0000338342152506,Couple sans enfant avec isolé(s)
48,6,-.0039400787980687,Couple sans isolé avec enfant
48,7,-.0000907371726096,Couple avec enfant avec isolé(s)
48,8,-.0001698383818835,Autre cas
48,9,-.0000934145164981,Hors logement ordinaire
49,1,-.0011874525474654,Personne vivant seule
49,2,-.0004291291060858,Famille monoparentale
49,3,-.0000442476121068,Famille monoparentale avec isolé(s)
49,4,-.0007897952412949,Couple sans isolé sans enfant
49,5,-.0000372775243353,Couple sans enfant avec isolé(s)
49,6,-.003757797730424,Couple sans isolé avec enfant
49,7,-.0000854873106215,Couple avec enfant avec isolé(s)
49,8,-.0001705363682326,Autre cas
49,9,-.0000963087309565,Hors logement ordinaire
50,1,-.0011928633328307,Personne vivant seule
50,2,-.0004310941760355,Famille monoparentale
50,3,-.000040043000092,Famille monoparentale avec isolé(s)
50,4,-.0009181316345985,Couple sans isolé sans enfant
50,5,-.000039315385794,Couple sans enfant avec isolé(s)
50,6,-.0036515782249725,Couple sans isolé avec enfant
50,7,-.0000878573961365,Couple avec enfant avec isolé(s)
50,8,-.0001767516200882,Autre cas
50,9,-.0000963706939765,Hors logement ordinaire
51,1,-.0012168625730089,Personne vivant seule
51,2,-.0004335045675927,Famille monoparentale
51,3,-.0000414469437611,Famille monoparentale avec isolé(s)
51,4,-.0010788373892334,Couple sans isolé sans enfant
51,5,-.0000438134197798,Couple sans enfant avec isolé(s)
51,6,-.003468532395297,Couple sans isolé avec enfant
51,7,-.0000848436171128,Couple avec enfant avec isolé(s)
51,8,-.0001813705722004,Autre cas
51,9,-.0000984466055422,Hors logement ordinaire
52,1,-.0012465455667109,Personne vivant seule
52,2,-.0004124466157206,Famille monoparentale
52,3,-.0000410020733409,Famille monoparentale avec isolé(s)
52,4,-.0012657736543491,Couple sans isolé sans enfant
52,5,-.000049447241938,Couple sans enfant avec isolé(s)
52,6,-.003273556578732,Couple sans isolé avec enfant
52,7,-.0000851980997296,Couple avec enfant avec isolé(s)
52,8,-.0001856712870545,Autre cas
52,9,-.0000977074107769,Hors logement ordinaire
53,1,-.0012592433235447,Personne vivant seule
53,2,-.0004000231806064,Famille monoparentale
53,3,-.0000391764201861,Famille monoparentale avec isolé(s)
53,4,-.0014569984522689,Couple sans isolé sans enfant
53,5,-.0000506337134545,Couple sans enfant avec isolé(s)
53,6,-.0030371771323616,Couple sans isolé avec enfant
53,7,-.0000815896561887,Couple avec enfant avec isolé(s)
53,8,-.0001878393911718,Autre cas
53,9,-.0000915106575899,Hors logement ordinaire
54,1,-.0012466204637593,Personne vivant seule
54,2,-.0003886816920113,Famille monoparentale
54,3,-.0000381809511827,Famille monoparentale avec isolé(s)
54,4,-.0016722653531355,Couple sans isolé sans enfant
54,5,-.0000556755782177,Couple sans enfant avec isolé(s)
54,6,-.0027781829884396,Couple sans isolé avec enfant
54,7,-.0000790960958208,Couple avec enfant avec isolé(s)
54,8,-.0001901287142068,Autre cas
54,9,-.0000881487125679,Hors logement ordinaire
55,1,-.0012684198663318,Personne vivant seule
55,2,-.000365653255945,Famille monoparentale
55,3,-.0000360077336123,Famille monoparentale avec isolé(s)
55,4,-.0018922273063283,Couple sans isolé sans enfant
55,5,-.0000654412208819,Couple sans enfant avec isolé(s)
55,6,-.0025270074647134,Couple sans isolé avec enfant
55,7,-.0000727909073488,Couple avec enfant avec isolé(s)
55,8,-.0001928779472301,Autre cas
55,9,-.0000972775799245,Hors logement ordinaire
56,1,-.0012415220502205,Personne vivant seule
56,2,-.000339842950993,Famille monoparentale
56,3,-.000033312492638,Famille monoparentale avec isolé(s)
56,4,-.002078067487731,Couple sans isolé sans enfant
56,5,-.0000658797746836,Couple sans enfant avec isolé(s)
56,6,-.0022744141609156,Couple sans isolé avec enfant
56,7,-.0000689780760793,Couple avec enfant avec isolé(s)
56,8,-.0001993783492942,Autre cas
56,9,-.0000899324053281,Hors logement ordinaire
57,1,-.0012378736014289,Personne vivant seule
57,2,-.0003045535071465,Famille monoparentale
57,3,-.0000306360511237,Famille monoparentale avec isolé(s)
57,4,-.0022940206440837,Couple sans isolé sans enfant
57,5,-.0000686642002959,Couple sans enfant avec isolé(s)
57,6,-.0020243232908308,Couple sans isolé avec enfant
57,7,-.0000629374336077,Couple avec enfant avec isolé(s)
57,8,-.000199441816271,Autre cas
57,9,-.000084791880999,Hors logement ordinaire
58,1,-.0012270951942582,Personne vivant seule
58,2,-.0002850783194067,Famille monoparentale
58,3,-.0000298744474022,Famille monoparentale avec isolé(s)
58,4,-.0024926542339725,Couple sans isolé sans enfant
58,5,-.0000702621543918,Couple sans enfant avec isolé(s)
58,6,-.0017743956000584,Couple sans isolé avec enfant
58,7,-.0000615425136793,Couple avec enfant avec isolé(s)
58,8,-.0002031459114641,Autre cas
58,9,-.0000825255685029,Hors logement ordinaire
59,1,-.0012168263276501,Personne vivant seule
59,2,-.0002548573603587,Famille monoparentale
59,3,-.0000281078997494,Famille monoparentale avec isolé(s)
59,4,-.0027018729725836,Couple sans isolé sans enfant
59,5,-.0000687778994297,Couple sans enfant avec isolé(s)
59,6,-.0015766161072341,Couple sans isolé avec enfant
59,7,-.0000536608776937,Couple avec enfant avec isolé(s)
59,8,-.0001994974626725,Autre cas
59,9,-.0000881509685031,Hors logement ordinaire
60,1,-.0011892234565928,Personne vivant seule
60,2,-.0002328086017494,Famille monoparentale
60,3,-.0000263099193997,Famille monoparentale avec isolé(s)
60,4,-.002844486277357,Couple sans isolé sans enfant
60,5,-.0000717631032743,Couple sans enfant avec isolé(s)
60,6,-.0013671474110035,Couple sans isolé avec enfant
60,7,-.0000484155275759,Couple avec enfant avec isolé(s)
60,8,-.0002015673584109,Autre cas
60,9,-.0000817624608246,Hors logement ordinaire
61,1,-.0011599561565492,Personne vivant seule
61,2,-.0001988882097744,Famille monoparentale
61,3,-.0000258651993751,Famille monoparentale avec isolé(s)
61,4,-.0029651891875463,Couple sans isolé sans enfant
61,5,-.0000757905491786,Couple sans enfant avec isolé(s)
61,6,-.0012038772596356,Couple sans isolé avec enfant
61,7,-.0000462141860134,Couple avec enfant avec isolé(s)
61,8,-.0001969058443214,Autre cas
61,9,-.0000847282636265,Hors logement ordinaire
62,1,-.0011376765405717,Personne vivant seule
62,2,-.0001806951452032,Famille monoparentale
62,3,-.0000231404808476,Famille monoparentale avec isolé(s)
62,4,-.0030783987833947,Couple sans isolé sans enfant
