age,j,c,structure
13,4,0,Couple sans isolé sans enfant
13,5,6.53875296243e-06,Couple sans enfant avec isolé(s)
13,6,.0043869819663622,Couple sans isolé avec enfant
13,7,.0000890539441634,Couple avec enfant avec isolé(s)
13,8,.000144964290037,Autre cas
13,9,.0000326236804254,Hors logement ordinaire
14,1,0,Personne vivant seule
14,2,.0013639591729914,Famille monoparentale
14,3,.0000746531066537,Famille monoparentale avec isolé(s)
14,4,0,Couple sans isolé sans enfant
14,5,7.35555189839e-06,Couple sans enfant avec isolé(s)
14,6,.004317016693042,Couple sans isolé avec enfant
14,7,.0000965081556277,Couple avec enfant avec isolé(s)
14,8,.0001479087366525,Autre cas
14,9,.0000371223159939,Hors logement ordinaire
15,1,7.73981285980e-06,Personne vivant seule
15,2,.0014150207621544,Famille monoparentale
15,3,.0000799169554401,Famille monoparentale avec isolé(s)
15,4,2.26044706455e-07,Couple sans isolé sans enfant
15,5,9.59900425114e-06,Couple sans enfant avec isolé(s)
15,6,.0042657788401425,Couple sans isolé avec enfant
15,7,.0001070296869775,Couple avec enfant avec isolé(s)
15,8,.0001591404364015,Autre cas
15,9,.0000427725312812,Hors logement ordinaire
16,1,.0000143736158917,Personne vivant seule
16,2,.0014601295399227,Famille monoparentale
16,3,.0000850785351643,Famille monoparentale avec isolé(s)
16,4,1.86295128334e-06,Couple sans isolé sans enfant
16,5,.0000127085853228,Couple sans enfant avec isolé(s)
16,6,.0041963407036793,Couple sans isolé avec enfant
16,7,.0001028550037029,Couple avec enfant avec isolé(s)
16,8,.0001734468254244,Autre cas
16,9,.0000474265255868,Hors logement ordinaire
17,1,.0000203786145872,Personne vivant seule
17,2,.0014954287594884,Famille monoparentale
17,3,.0000865098508472,Famille monoparentale avec isolé(s)
17,4,5.24444774370e-06,Couple sans isolé sans enfant
17,5,.0000121048970648,Couple sans enfant avec isolé(s)
17,6,.0041123895345294,Couple sans isolé avec enfant
17,7,.0001112312910788,Couple avec enfant avec isolé(s)
17,8,.0001827509037478,Autre cas
17,9,.0000504660222717,Hors logement ordinaire
18,1,.000074861855857,Personne vivant seule
18,2,.0015222626574359,Famille monoparentale
18,3,.0000858962364743,Famille monoparentale avec isolé(s)
18,4,7.79109778654e-06,Couple sans isolé sans enfant
18,5,.0000247336222817,Couple sans enfant avec isolé(s)
18,6,.0039671951391025,Couple sans isolé avec enfant
18,7,.0001107703283208,Couple avec enfant avec isolé(s)
18,8,.0001663522100301,Autre cas
18,9,.0000732727751062,Hors logement ordinaire
19,1,.0008286956854089,Personne vivant seule
19,2,.0011641336973418,Famille monoparentale
19,3,.0000918792774006,Famille monoparentale avec isolé(s)
19,4,.0001274663542971,Couple sans isolé sans enfant
19,5,.000042645446932,Couple sans enfant avec isolé(s)
19,6,.0027791939481979,Couple sans isolé avec enfant
19,7,.0001201123063555,Couple avec enfant avec isolé(s)
19,8,.0003811622088221,Autre cas
19,9,.0004626338044023,Hors logement ordinaire
20,1,.0010323944513913,Personne vivant seule
20,2,.0010467026451624,Famille monoparentale
20,3,.0000813754927409,Famille monoparentale avec isolé(s)
20,4,.0002786549199305,Couple sans isolé sans enfant
20,5,.0000439687785168,Couple sans enfant avec isolé(s)
20,6,.0024550410264803,Couple sans isolé avec enfant
20,7,.000107442071931,Couple avec enfant avec isolé(s)
20,8,.0004459477045409,Autre cas
20,9,.0003005976495857,Hors logement ordinaire
21,1,.0011485101429568,Personne vivant seule
21,2,.0009194099978752,Famille monoparentale
21,3,.0000795799187221,Famille monoparentale avec isolé(s)
21,4,.0004943481925489,Couple sans isolé sans enfant
21,5,.0000539918985845,Couple sans enfant avec isolé(s)
21,6,.0021304686512122,Couple sans isolé avec enfant
21,7,.0000992949875708,Couple avec enfant avec isolé(s)
21,8,.0005028959309995,Autre cas
21,9,.0002090387149826,Hors logement ordinaire
22,1,.001163211170243,Personne vivant seule
22,2,.0007942052938081,Famille monoparentale
22,3,.0000753954597283,Famille monoparentale avec isolé(s)
22,4,.000728529455666,Couple sans isolé sans enfant
22,5,.0000544316555517,Couple sans enfant avec isolé(s)
22,6,.0019179588039442,Couple sans isolé avec enfant
22,7,.0000900288089587,Couple avec enfant avec isolé(s)
22,8,.0005172719532221,Autre cas
22,9,.000160544680862,Hors logement ordinaire
23,1,.0011843262724733,Personne vivant seule
23,2,.0007363552948546,Famille monoparentale
23,3,.0000682829472481,Famille monoparentale avec isolé(s)
23,4,.0009776538831137,Couple sans isolé sans enfant
23,5,.0000559921611233,Couple sans enfant avec isolé(s)
23,6,.0017847901974547,Couple sans isolé avec enfant
23,7,.0000802315832018,Couple avec enfant avec isolé(s)
23,8,.0005112078490245,Autre cas
23,9,.0001347369326365,Hors logement ordinaire
24,1,.0011378825826528,Personne vivant seule
24,2,.0006676747014296,Famille monoparentale
24,3,.0000636233883024,Famille monoparentale avec isolé(s)
24,4,.0012143578833606,Couple sans isolé sans enfant
24,5,.000058761396772,Couple sans enfant avec isolé(s)
24,6,.0017027158159906,Couple sans isolé avec enfant
24,7,.0000716701587443,Couple avec enfant avec isolé(s)
24,8,.0004821929129314,Autre cas
24,9,.0001167108072697,Hors logement ordinaire
25,1,.0011033120301548,Personne vivant seule
25,2,.0006231026858418,Famille monoparentale
25,3,.0000628462938259,Famille monoparentale avec isolé(s)
25,4,.0014419910689833,Couple sans isolé sans enfant
25,5,.000061008007434,Couple sans enfant avec isolé(s)
25,6,.0016727616588783,Couple sans isolé avec enfant
25,7,.0000683539340089,Couple avec enfant avec isolé(s)
25,8,.0004554596296936,Autre cas
25,9,.000110443518509,Hors logement ordinaire
26,1,.0010856042924418,Personne vivant seule
26,2,.0005860506046302,Famille monoparentale
26,3,.0000595020954941,Famille monoparentale avec isolé(s)
26,4,.0015953666885896,Couple sans isolé sans enfant
26,5,.0000519635120536,Couple sans enfant avec isolé(s)
26,6,.001719393493694,Couple sans isolé avec enfant
26,7,.0000646641264053,Couple avec enfant avec isolé(s)
26,8,.000428090172731,Autre cas
26,9,.0000905157901693,Hors logement ordinaire
27,1,.0010474562779129,Personne vivant seule
27,2,.0005644838641741,Famille monoparentale
27,3,.0000586398770629,Famille monoparentale avec isolé(s)
27,4,.0016703918741546,Couple sans isolé sans enfant
27,5,.0000526208915692,Couple sans enfant avec isolé(s)
27,6,.0018767364009327,Couple sans isolé avec enfant
27,7,.0000616777193953,Couple avec enfant avec isolé(s)
27,8,.0003970307577692,Autre cas
27,9,.0000734102367574,Hors logement ordinaire
28,1,.0009970255986259,Personne vivant seule
28,2,.0005408097794552,Famille monoparentale
28,3,.0000589489401845,Famille monoparentale avec isolé(s)
28,4,.0016313551715549,Couple sans isolé sans enfant
28,5,.0000490526036747,Couple sans enfant avec isolé(s)
28,6,.0021083461987199,Couple sans isolé avec enfant
28,7,.0000605383217266,Couple avec enfant avec isolé(s)
28,8,.0003575078259373,Autre cas
28,9,.0000640647996221,Hors logement ordinaire
29,1,.0009325121686915,Personne vivant seule
29,2,.0005750079522505,Famille monoparentale
29,3,.0000611960020335,Famille monoparentale avec isolé(s)
29,4,.0015371925869465,Couple sans isolé sans enfant
29,5,.0000400933826446,Couple sans enfant avec isolé(s)
29,6,.002453163035629,Couple sans isolé avec enfant
29,7,.0000606105116528,Couple avec enfant avec isolé(s)
29,8,.0003192667164828,Autre cas
29,9,.0000597989765656,Hors logement ordinaire
30,1,.0008902962518205,Personne vivant seule
30,2,.0005845380752804,Famille monoparentale
30,3,.0000574914556533,Famille monoparentale avec isolé(s)
30,4,.0013549050522875,Couple sans isolé sans enfant
30,5,.0000358146255597,Couple sans enfant avec isolé(s)
30,6,.002765333031178,Couple sans isolé avec enfant
30,7,.0000629294626367,Couple avec enfant avec isolé(s)
30,8,.0002825175321699,Autre cas
30,9,.0000581322916442,Hors logement ordinaire
31,1,.0008248452552195,Personne vivant seule
31,2,.0006175030035029,Famille monoparentale
31,3,.0000563513060062,Famille monoparentale avec isolé(s)
31,4,.001173044039776,Couple sans isolé sans enfant
31,5,.0000353914121173,Couple sans enfant avec isolé(s)
31,6,.0030971120666216,Couple sans isolé avec enfant
31,7,.0000635576653904,Couple avec enfant avec isolé(s)
31,8,.0002503880519477,Autre cas
31,9,.0000514667551238,Hors logement ordinaire
32,1,.0007454895764557,Personne vivant seule
32,2,.0006433530129143,Famille monoparentale
32,3,.0000549965417243,Famille monoparentale avec isolé(s)
32,4,.000987661662822,Couple sans isolé sans enfant
32,5,.0000291188595078,Couple sans enfant avec isolé(s)
32,6,.0033580037528333,Couple sans isolé avec enfant
32,7,.0000631621247531,Couple avec enfant avec isolé(s)
32,8,.000228063467662,Autre cas
32,9,.0000468819428309,Hors logement ordinaire
33,1,.0007144885150176,Personne vivant seule
33,2,.0006907046414526,Famille monoparentale
33,3,.0000499253498035,Famille monoparentale avec isolé(s)
33,4,.0008321714799604,Couple sans isolé sans enfant
33,5,.0000248772501557,Couple sans enfant avec isolé(s)
33,6,.0035951097607319,Couple sans isolé avec enfant
33,7,.0000656471125673,Couple avec enfant avec isolé(s)
33,8,.000209790091798,Autre cas
33,9,.0000459592653365,Hors logement ordinaire
34,1,.000678369638998,Personne vivant seule
34,2,.0007336693784124,Famille monoparentale
34,3,.0000560651030279,Famille monoparentale avec isolé(s)
34,4,.0007217463097243,Couple sans isolé sans enfant
34,5,.0000234581165229,Couple sans enfant avec isolé(s)
34,6,.0038433806926977,Couple sans isolé avec enfant
34,7,.0000646695406498,Couple avec enfant avec isolé(s)
34,8,.0001950158218157,Autre cas
34,9,.0000470508371791,Hors logement ordinaire
35,1,.0006376913675554,Personne vivant seule
35,2,.0007678470973953,Famille monoparentale
35,3,.0000534801020868,Famille monoparentale avec isolé(s)
35,4,.00062360019475,Couple sans isolé sans enfant
35,5,.000020178287542,Couple sans enfant avec isolé(s)
35,6,.0040225651132993,Couple sans isolé avec enfant
35,7,.0000639171110647,Couple avec enfant avec isolé(s)
35,8,.0001834320457808,Autre cas
35,9,.0000479578735228,Hors logement ordinaire
36,1,.0006025604407552,Personne vivant seule
36,2,.0008050874739977,Famille monoparentale
36,3,.0000548589296774,Famille monoparentale avec isolé(s)
36,4,.0005459170663391,Couple sans isolé sans enfant
36,5,.0000171984979419,Couple sans enfant avec isolé(s)
36,6,.0041168576397749,Couple sans isolé avec enfant
36,7,.0000654212182565,Couple avec enfant avec isolé(s)
36,8,.0001666169064263,Autre cas
36,9,.0000422801358262,Hors logement ordinaire
37,1,.000577090030039,Personne vivant seule
37,2,.0008520357413233,Famille monoparentale
37,3,.0000541943311692,Famille monoparentale avec isolé(s)
37,4,.0004827832159738,Couple sans isolé sans enfant
37,5,.0000183326317618,Couple sans enfant avec isolé(s)
37,6,.0041793524588975,Couple sans isolé avec enfant
37,7,.000067313195906,Couple avec enfant avec isolé(s)
37,8,.0001607469630511,Autre cas
37,9,.0000454324292708,Hors logement ordinaire
38,1,.0005449591962557,Personne vivant seule
38,2,.0008733095109956,Famille monoparentale
38,3,.0000611523872864,Famille monoparentale avec isolé(s)
38,4,.0004489392250041,Couple sans isolé sans enfant
38,5,.0000156139290615,Couple sans enfant avec isolé(s)
38,6,.0041818741432576,Couple sans isolé avec enfant
38,7,.0000678892113589,Couple avec enfant avec isolé(s)
38,8,.0001515644044368,Autre cas
38,9,.0000410404242392,Hors logement ordinaire
39,1,.000533402040256,Personne vivant seule
39,2,.0009046582872449,Famille monoparentale
39,3,.0000569922923927,Famille monoparentale avec isolé(s)
39,4,.0003964442146187,Couple sans isolé sans enfant
39,5,.0000167304665869,Couple sans enfant avec isolé(s)
39,6,.0040870186857531,Couple sans isolé avec enfant
39,7,.0000700654368429,Couple avec enfant avec isolé(s)
39,8,.000145982468788,Autre cas
39,9,.0000393391483114,Hors logement ordinaire
40,1,.0005281160833048,Personne vivant seule
40,2,.0009308552594893,Famille monoparentale
40,3,.0000595157815009,Famille monoparentale avec isolé(s)
40,4,.0003838430118112,Couple sans isolé sans enfant
40,5,.000017126608807,Couple sans enfant avec isolé(s)
40,6,.004032600415417,Couple sans isolé avec enfant
40,7,.0000735642419333,Couple avec enfant avec isolé(s)
40,8,.0001471660827865,Autre cas
40,9,.0000385471646626,Hors logement ordinaire
41,1,.0005106116805506,Personne vivant seule
41,2,.0009689781579396,Famille monoparentale
41,3,.0000583893178606,Famille monoparentale avec isolé(s)
41,4,.0003683203729272,Couple sans isolé sans enfant
41,5,.0000165161527435,Couple sans enfant avec isolé(s)
41,6,.0040321326848534,Couple sans isolé avec enfant
41,7,.0000771768965532,Couple avec enfant avec isolé(s)
41,8,.0001347531753699,Autre cas
41,9,.0000382086239878,Hors logement ordinaire
42,1,.0005207364680976,Personne vivant seule
42,2,.0010271402279284,Famille monoparentale
42,3,.0000629287106583,Famille monoparentale avec isolé(s)
42,4,.0003898192849319,Couple sans isolé sans enfant
42,5,.0000167390391406,Couple sans enfant avec isolé(s)
42,6,.0040945953193006,Couple sans isolé avec enfant
42,7,.000072716611883,Couple avec enfant avec isolé(s)
42,8,.0001344771992978,Autre cas
42,9,.0000401810633259,Hors logement ordinaire
43,1,.0005507187492021,Personne vivant seule
43,2,.0011046413775669,Famille monoparentale
43,3,.0000636495571507,Famille monoparentale avec isolé(s)
43,4,.0004176618867025,Couple sans isolé sans enfant
43,5,.0000175893763132,Couple sans enfant avec isolé(s)
43,6,.004147595358378,Couple sans isolé avec enfant
43,7,.0000771593002587,Couple avec enfant avec isolé(s)
43,8,.0001438797867914,Autre cas
43,9,.0000412353370399,Hors logement ordinaire
44,1,.0005762825556352,Personne vivant seule
44,2,.0011610492323486,Famille monoparentale
44,3,.0000636976837682,Famille monoparentale avec isolé(s)
44,4,.0004586474165186,Couple sans isolé sans enfant
44,5,.0000196467892102,Couple sans enfant avec isolé(s)
44,6,.0042055853757093,Couple sans isolé avec enfant
44,7,.0000845470368326,Couple avec enfant avec isolé(s)
44,8,.0001408607439189,Autre cas
44,9,.0000425891989478,Hors logement ordinaire
45,1,.0006135745179558,Personne vivant seule
45,2,.0012263352448891,Famille monoparentale
45,3,.0000706745393453,Famille monoparentale avec isolé(s)
45,4,.0005046994759894,Couple sans isolé sans enfant
45,5,.000023384873827,Couple sans enfant avec isolé(s)
45,6,.0041539501774243,Couple sans isolé avec enfant
45,7,.0000852412632896,Couple avec enfant avec isolé(s)
45,8,.0001525794248784,Autre cas
45,9,.000044501480014,Hors logement ordinaire
46,1,.0006561112288114,Personne vivant seule
46,2,.0012371723063748,Famille monoparentale
46,3,.0000701252943233,Famille monoparentale avec isolé(s)
46,4,.0005835657672117,Couple sans isolé sans enfant
46,5,.0000265967239607,Couple sans enfant avec isolé(s)
46,6,.0040511100628937,Couple sans isolé avec enfant
46,7,.0000881945832502,Couple avec enfant avec isolé(s)
46,8,.0001582854369629,Autre cas
46,9,.0000452148067224,Hors logement ordinaire
47,1,.0006842234900355,Personne vivant seule
47,2,.0012472973947133,Famille monoparentale
47,3,.0000764509366078,Famille monoparentale avec isolé(s)
47,4,.0006860178608889,Couple sans isolé sans enfant
47,5,.0000327621948464,Couple sans enfant avec isolé(s)
47,6,.0038563114124393,Couple sans isolé avec enfant
47,7,.0000871711406504,Couple avec enfant avec isolé(s)
47,8,.0001620335980901,Autre cas
47,9,.0000420274710844,Hors logement ordinaire
48,1,.0007287218117403,Personne vivant seule
48,2,.0011760963200937,Famille monoparentale
48,3,.0000686826989645,Famille monoparentale avec isolé(s)
48,4,.0008263099587432,Couple sans isolé sans enfant
48,5,.0000388405866335,Couple sans enfant avec isolé(s)
48,6,.0036514454255874,Couple sans isolé avec enfant
48,7,.0000881254012375,Couple avec enfant avec isolé(s)
48,8,.0001676850165428,Autre cas
48,9,.0000440202138393,Hors logement ordinaire
49,1,.0007884965746015,Personne vivant seule
49,2,.0011821954664846,Famille monoparentale
49,3,.0000737442655618,Famille monoparentale avec isolé(s)
49,4,.0009885844907121,Couple sans isolé sans enfant
49,5,.000038490615887,Couple sans enfant avec isolé(s)
49,6,.0034207959042145,Couple sans isolé avec enfant
49,7,.0000887128467621,Couple avec enfant avec isolé(s)
49,8,.0001771312187835,Autre cas
49,9,.0000487233875321,Hors logement ordinaire
50,1,.0008478900844148,Personne vivant seule
50,2,.0011396802622112,Famille monoparentale
50,3,.0000737947985102,Famille monoparentale avec isolé(s)
50,4,.0011860037858837,Couple sans isolé sans enfant
50,5,.0000474236680689,Couple sans enfant avec isolé(s)
50,6,.0032402949198337,Couple sans isolé avec enfant
50,7,.0000807758651663,Couple avec enfant avec isolé(s)
50,8,.0001846824354611,Autre cas
50,9,.0000449738728437,Hors logement ordinaire
51,1,.0009173592023881,Personne vivant seule
51,2,.0010979203450408,Famille monoparentale
51,3,.0000734185085198,Famille monoparentale avec isolé(s)
51,4,.0014191846169401,Couple sans isolé sans enfant
51,5,.0000509465364681,Couple sans enfant avec isolé(s)
51,6,.0029884017079244,Couple sans isolé avec enfant
51,7,.000079172948013,Couple avec enfant avec isolé(s)
51,8,.0001898185983154,Autre cas
51,9,.0000461104129945,Hors logement ordinaire
52,1,.0010014165508878,Personne vivant seule
52,2,.0010293314929803,Famille monoparentale
52,3,.0000685151581774,Famille monoparentale avec isolé(s)
52,4,.0016629126970076,Couple sans isolé sans enfant
52,5,.0000574073844684,Couple sans enfant avec isolé(s)
52,6,.0027533669493255,Couple sans isolé avec enfant
52,7,.000076065923668,Couple avec enfant avec isolé(s)
52,8,.0002017755060315,Autre cas
52,9,.0000483732663899,Hors logement ordinaire
53,1,.0010730734748123,Personne vivant seule
53,2,.000951294182744,Famille monoparentale
53,3,.0000672922909065,Famille monoparentale avec isolé(s)
53,4,.0019044571822029,Couple sans isolé sans enfant
53,5,.0000658099910883,Couple sans enfant avec isolé(s)
53,6,.0024733986239249,Couple sans isolé avec enfant
53,7,.0000718620636315,Couple avec enfant avec isolé(s)
53,8,.0002086900977973,Autre cas
53,9,.0000432956074549,Hors logement ordinaire
54,1,.0011492502400961,Personne vivant seule
54,2,.0008703277662516,Famille monoparentale
54,3,.0000615364978522,Famille monoparentale avec isolé(s)
54,4,.002172139684536,Couple sans isolé sans enfant
54,5,.000065984750868,Couple sans enfant avec isolé(s)
54,6,.002184587634146,Couple sans isolé avec enfant
54,7,.0000670997844366,Couple avec enfant avec isolé(s)
54,8,.0002116309349164,Autre cas
54,9,.0000487406830352,Hors logement ordinaire
55,1,.001222662131206,Personne vivant seule
55,2,.0008021072332105,Famille monoparentale
55,3,.0000614846113427,Famille monoparentale avec isolé(s)
55,4,.0024140263199024,Couple sans isolé sans enfant
55,5,.0000706518295977,Couple sans enfant avec isolé(s)
55,6,.0019244972561153,Couple sans isolé avec enfant
55,7,.0000645096700424,Couple avec enfant avec isolé(s)
55,8,.0002117359111008,Autre cas
55,9,.0000472179267792,Hors logement ordinaire
56,1,.0012831004398057,Personne vivant seule
56,2,.0007154483402449,Famille monoparentale
56,3,.0000600913457668,Famille monoparentale avec isolé(s)
56,4,.0026196489474183,Couple sans isolé sans enfant
56,5,.0000772624716949,Couple sans enfant avec isolé(s)
56,6,.0016721104455855,Couple sans isolé avec enfant
56,7,.0000595655624709,Couple avec enfant avec isolé(s)
56,8,.0002130454062831,Autre cas
56,9,.0000462301279555,Hors logement ordinaire
57,1,.0013454450136443,Personne vivant seule
57,2,.0006511639629306,Famille monoparentale
57,3,.0000533276008677,Famille monoparentale avec isolé(s)
57,4,.0027877131114695,Couple sans isolé sans enfant
57,5,.0000778598433344,Couple sans enfant avec isolé(s)
57,6,.0014345127942103,Couple sans isolé avec enfant
57,7,.0000551153543112,Couple avec enfant avec isolé(s)
57,8,.0002128315436267,Autre cas
57,9,.0000425771672934,Hors logement ordinaire
58,1,.0014180531902424,Personne vivant seule
58,2,.0005844714499943,Famille monoparentale
58,3,.0000527759495148,Famille monoparentale avec isolé(s)
58,4,.0029684575864556,Couple sans isolé sans enfant
58,5,.0000770798913399,Couple sans enfant avec isolé(s)
58,6,.0012279489905314,Couple sans isolé avec enfant
58,7,.0000531635191812,Couple avec enfant avec isolé(s)
58,8,.0002104855214205,Autre cas
58,9,.0000418423340028,Hors logement ordinaire
59,1,.0014779872221283,Personne vivant seule
59,2,.0005261678576711,Famille monoparentale
59,3,.0000499301624653,Famille monoparentale avec isolé(s)
59,4,.0031069214744285,Couple sans isolé sans enfant
59,5,.0000778550306726,Couple sans enfant avec isolé(s)
59,6,.0010561527576907,Couple sans isolé avec enfant
59,7,.000050055141275,Couple avec enfant avec isolé(s)
59,8,.0002074888875042,Autre cas
59,9,.0000464397795328,Hors logement ordinaire
60,1,.0015312611317383,Personne vivant seule
60,2,.0004757639488151,Famille monoparentale
60,3,.0000464994866177,Famille monoparentale avec isolé(s)
60,4,.0032245281887617,Couple sans isolé sans enfant
60,5,.0000773775243898,Couple sans enfant avec isolé(s)
60,6,.0008981255501097,Couple sans isolé avec enfant
60,7,.0000464903124812,Couple avec enfant avec isolé(s)
60,8,.0002062881283982,Autre cas
60,9,.0000460699565567,Hors logement ordinaire
61,1,.0015841623608543,Personne vivant seule
61,2,.0004146031393706,Famille monoparentale
61,3,.0000450823081287,Famille monoparentale avec isolé(s)
61,4,.0033036133056979,Couple sans isolé sans enfant
61,5,.0000764638706362,Couple sans enfant avec isolé(s)
61,6,.000759125501539,Couple sans isolé avec enfant
61,7,.0000439424592729,Couple avec enfant avec isolé(s)
61,8,.0002156401829435,Autre cas
61,9,.0000462253152937,Hors logement ordinaire
62,1,.0016259487476643,Personne vivant seule
62,2,.0003778127466415,Famille monoparentale
62,3,.0000437878525143,Famille monoparentale avec isolé(s)
62,4,.0033647053843168,Couple sans isolé sans enfant
62,5,.0000786149800417,Couple sans enfant avec isolé(s)
62,6,.0006476083082732,Couple sans isolé avec enfant
62,7,.0000413872366763,Couple avec enfant avec isolé(s)
62,8,.0002136026222761,Autre cas
62,9,.0000446711263406,Hors logement ordinaire
63,1,.0016696759907197,Personne vivant seule
63,2,.0003366043304283,Famille monoparentale
63,3,.000042436547333,Famille monoparentale avec isolé(s)
63,4,.0034099213942046,Couple sans isolé sans enfant
63,5,.0000779058644123,Couple sans enfant avec isolé(s)
63,6,.0005672687409734,Couple sans isolé avec enfant
63,7,.0000430035390451,Couple avec enfant avec isolé(s)
63,8,.0002054773452895,Autre cas
63,9,.00004725131462,Hors logement ordinaire
64,1,.0017045538015911,Personne vivant seule
64,2,.0003146620519601,Famille monoparentale
64,3,.0000413737010652,Famille monoparentale avec isolé(s)
64,4,.0034461058427405,Couple sans isolé sans enfant
64,5,.0000766756277531,Couple sans enfant avec isolé(s)
64,6,.0004770511854368,Couple sans isolé avec enfant
