annee,type,typeNum,ageM,pHorsM
1946,Âge moyen à la maternité,1,28.79999923706055,8.699999809265137
1947,Âge moyen à la maternité,1,28.39999961853027,7.599999904632568
1948,Âge moyen à la maternité,1,28.29999923706055,7.300000190734863
1949,Âge moyen à la maternité,1,28.20000076293945,7
1950,Âge moyen à la maternité,1,28.20000076293945,7
1951,Âge moyen à la maternité,1,28.10000038146973,6.800000190734863
1952,Âge moyen à la maternité,1,28.10000038146973,6.699999809265137
1953,Âge moyen à la maternité,1,28,6.699999809265137
1954,Âge moyen à la maternité,1,28,6.599999904632568
1955,Âge moyen à la maternité,1,27.89999961853027,6.400000095367432
1956,Âge moyen à la maternité,1,27.89999961853027,6.300000190734863
1957,Âge moyen à la maternité,1,27.89999961853027,6.199999809265137
1958,Âge moyen à la maternité,1,27.79999923706055,6.099999904632568
1959,Âge moyen à la maternité,1,27.70000076293945,6.099999904632568
1960,Âge moyen à la maternité,1,27.60000038146973,6.099999904632568
1961,Âge moyen à la maternité,1,27.5,5.900000095367432
1962,Âge moyen à la maternité,1,27.5,5.900000095367432
1963,Âge moyen à la maternité,1,27.39999961853027,5.900000095367432
1964,Âge moyen à la maternité,1,27.29999923706055,5.900000095367432
1965,Âge moyen à la maternité,1,27.29999923706055,5.900000095367432
1966,Âge moyen à la maternité,1,27.29999923706055,6
1967,Âge moyen à la maternité,1,27.29999923706055,6.199999809265137
1968,Âge moyen à la maternité,1,27.29999923706055,6.400000095367432
1969,Âge moyen à la maternité,1,27.29999923706055,6.5
1970,Âge moyen à la maternité,1,27.20000076293945,6.800000190734863
1971,Âge moyen à la maternité,1,27.10000038146973,7
1972,Âge moyen à la maternité,1,27,7.5
1973,Âge moyen à la maternité,1,26.89999961853027,8.199999809265137
1974,Âge moyen à la maternité,1,26.79999923706055,8.5
1975,Âge moyen à la maternité,1,26.70000076293945,8.5
1976,Âge moyen à la maternité,1,26.60000038146973,8.5
1977,Âge moyen à la maternité,1,26.5,8.800000190734863
1978,Âge moyen à la maternité,1,26.60000038146973,9.399999618530273
1979,Âge moyen à la maternité,1,26.70000076293945,10.30000019073486
1980,Âge moyen à la maternité,1,26.79999923706055,11.39999961853027
1981,Âge moyen à la maternité,1,27,12.69999980926514
1982,Âge moyen à la maternité,1,27.10000038146973,14.19999980926514
1983,Âge moyen à la maternité,1,27.10000038146973,15.89999961853027
1984,Âge moyen à la maternité,1,27.20000076293945,17.79999923706055
1985,Âge moyen à la maternité,1,27.5,19.60000038146973
1986,Âge moyen à la maternité,1,27.70000076293945,21.89999961853027
1987,Âge moyen à la maternité,1,27.89999961853027,24.10000038146973
1988,Âge moyen à la maternité,1,28,26.29999923706055
1989,Âge moyen à la maternité,1,28.20000076293945,28.20000076293945
1990,Âge moyen à la maternité,1,28.29999923706055,30.10000038146973
1991,Âge moyen à la maternité,1,28.39999961853027,31.79999923706055
1992,Âge moyen à la maternité,1,28.5,33.20000076293945
1993,Âge moyen à la maternité,1,28.70000076293945,34.90000152587891
1994,Âge moyen à la maternité,1,28.79999923706055,36.09999847412109
1995,Âge moyen à la maternité,1,29,37.59999847412109
1996,Âge moyen à la maternité,1,29.10000038146973,38.90000152587891
1997,Âge moyen à la maternité,1,29.20000076293945,40
1998,Âge moyen à la maternité,1,29.29999923706055,40.70000076293945
1999,Âge moyen à la maternité,1,29.29999923706055,41.70000076293945
2000,Âge moyen à la maternité,1,29.39999961853027,42.59999847412109
2001,Âge moyen à la maternité,1,29.39999961853027,43.70000076293945
2002,Âge moyen à la maternité,1,29.5,44.29999923706055
2003,Âge moyen à la maternité,1,29.5,45.20000076293945
2004,Âge moyen à la maternité,1,29.60000038146973,46.40000152587891
2005,Âge moyen à la maternité,1,29.70000076293945,47.40000152587891
2006,Âge moyen à la maternité,1,29.79999923706055,49.5
2007,Âge moyen à la maternité,1,29.79999923706055,50.70000076293945
2008,Âge moyen à la maternité,1,29.89999961853027,51.59999847412109
2009,Âge moyen à la maternité,1,29.89999961853027,52.90000152587891
2010,Âge moyen à la maternité,1,30,54.09999847412109
2011,Âge moyen à la maternité,1,30.10000038146973,55
2012,Âge moyen à la maternité,1,30.10000038146973,55.79999923706055
2013,Âge moyen à la maternité,1,30.20000076293945,56.40000152587891
2014,Âge moyen à la maternité,1,30.29999923706055,57.5
2015,Âge moyen à la maternité,1,30.39999961853027,57.90000152587891
2016,Âge moyen à la maternité,1,30.5,58.5
2017,Âge moyen à la maternité,1,30.60000038146973,58.59999847412109
2018,Âge moyen à la maternité,1,30.70000076293945,59.09999847412109
2019,Âge moyen à la maternité,1,30.79999923706055,59.70000076293945
2020,Âge moyen à la maternité,1,30.89999961853027,61.09999847412109
2021,Âge moyen à la maternité,1,31,62.29999923706055
2022,Âge moyen à la maternité,1,31.10000038146973,63.90000152587891
1946,Âge moyen au premier mariage,2,24.3,
1947,Âge moyen au premier mariage,2,24,
1948,Âge moyen au premier mariage,2,23.8,
1949,Âge moyen au premier mariage,2,23.5,
1950,Âge moyen au premier mariage,2,23.3,
1951,Âge moyen au premier mariage,2,23.3,
1952,Âge moyen au premier mariage,2,23.2,
1953,Âge moyen au premier mariage,2,23.2,
1954,Âge moyen au premier mariage,2,23.2,
1955,Âge moyen au premier mariage,2,23.2,
1956,Âge moyen au premier mariage,2,23.4,
1957,Âge moyen au premier mariage,2,23.3,
1958,Âge moyen au premier mariage,2,23.2,
1959,Âge moyen au premier mariage,2,23.1,
1960,Âge moyen au premier mariage,2,23.1,
1961,Âge moyen au premier mariage,2,23,
1962,Âge moyen au premier mariage,2,23,
1963,Âge moyen au premier mariage,2,22.8,
1964,Âge moyen au premier mariage,2,22.7,
1965,Âge moyen au premier mariage,2,22.7,
1966,Âge moyen au premier mariage,2,22.7,
1967,Âge moyen au premier mariage,2,22.7,
1968,Âge moyen au premier mariage,2,22.7,
1969,Âge moyen au premier mariage,2,22.7,
1970,Âge moyen au premier mariage,2,22.6,
1971,Âge moyen au premier mariage,2,22.6,
1972,Âge moyen au premier mariage,2,22.5,
1973,Âge moyen au premier mariage,2,22.5,
1974,Âge moyen au premier mariage,2,22.5,
1975,Âge moyen au premier mariage,2,22.5,
1976,Âge moyen au premier mariage,2,22.6,
1977,Âge moyen au premier mariage,2,22.7,
1978,Âge moyen au premier mariage,2,22.8,
1979,Âge moyen au premier mariage,2,22.9,
1980,Âge moyen au premier mariage,2,23,
1981,Âge moyen au premier mariage,2,23.1,
1982,Âge moyen au premier mariage,2,23.3,
1983,Âge moyen au premier mariage,2,23.6,
1984,Âge moyen au premier mariage,2,23.9,
1985,Âge moyen au premier mariage,2,24.2,
1986,Âge moyen au premier mariage,2,24.5,
1987,Âge moyen au premier mariage,2,24.8,
1988,Âge moyen au premier mariage,2,25,
1989,Âge moyen au premier mariage,2,25.3,
1990,Âge moyen au premier mariage,2,25.6,
1991,Âge moyen au premier mariage,2,25.8,
1992,Âge moyen au premier mariage,2,26.1,
1993,Âge moyen au premier mariage,2,26.4,
1994,Âge moyen au premier mariage,2,26.7,
1995,Âge moyen au premier mariage,2,26.9,
1996,Âge moyen au premier mariage,2,27.4,
1997,Âge moyen au premier mariage,2,27.6,
1998,Âge moyen au premier mariage,2,27.7,
1999,Âge moyen au premier mariage,2,27.8,
2000,Âge moyen au premier mariage,2,28,
2001,Âge moyen au premier mariage,2,28.1,
2002,Âge moyen au premier mariage,2,28.3,
2003,Âge moyen au premier mariage,2,28.5,
2004,Âge moyen au premier mariage,2,28.8,
2005,Âge moyen au premier mariage,2,29.1,
2006,Âge moyen au premier mariage,2,29.2,
2007,Âge moyen au premier mariage,2,29.5,
2008,Âge moyen au premier mariage,2,29.6,
2009,Âge moyen au premier mariage,2,29.8,
2010,Âge moyen au premier mariage,2,30,
2011,Âge moyen au premier mariage,2,30.1,
2012,Âge moyen au premier mariage,2,30.2,
2013,Âge moyen au premier mariage,2,30.6,
2014,Âge moyen au premier mariage,2,30.9,
2015,Âge moyen au premier mariage,2,31,
2016,Âge moyen au premier mariage,2,31.2,
2017,Âge moyen au premier mariage,2,31.4,
2018,Âge moyen au premier mariage,2,31.6,
2019,Âge moyen au premier mariage,2,31.6,
2020,Âge moyen au premier mariage,2,31.5,
2021,Âge moyen au premier mariage,2,31.9,
2022,Âge moyen au premier mariage,2,32.3,
