annee,n,indic,indicEn,pop,popEn,provisoire,provisoireEn
1982,7.4,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
1975,7.4,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
1968,6.5,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
1962,6.2,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
1954,5.4,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
1946,5,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
1936,5.6,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
1931,6.6,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
1926,5.7,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
1921,3.7,Part dans la population totale (%),% of total population,Immigrés,Immigrants,,
2024,6028,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,Provisoire,Provisional
2023,5622,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,Provisoire,Provisional
2022,5331,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
2021,5236,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
2020,5149,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
2019,5000,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
2018,4850,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
2017,4704,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
2016,4542,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
2015,4428,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
2014,4289,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
2013,4084,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
2012,3981,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
2011,3889,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
2010,3818,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
2009,3771,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
2008,3715,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
2007,3682,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
2006,3648,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
1999,3322,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
1990,3645,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
1982,3714,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
1975,3442,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
1968,2621,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
1962,2151,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
1954,1765,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
1946,1744,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
1936,2198,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
1931,2715,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
1926,2409,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
1921,1532,Nombre (en milliers),Number (in thousands),Etrangers,Foreigners,,
2024,8.800000000000001,Part dans la population totale (%),% of total population,Etrangers,Foreigners,Provisoire,Provisional
2023,8.199999999999999,Part dans la population totale (%),% of total population,Etrangers,Foreigners,Provisoire,Provisional
2022,7.8,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
2021,7.7,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
2020,7.6,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
2019,7.4,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
2018,7.2,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
2017,7,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
2016,6.8,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
2015,6.7,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
2014,6.5,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
2013,6.2,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
2012,6.1,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
2011,6,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
2010,5.9,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
2009,5.9,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
2008,5.8,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
2007,5.8,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
2006,5.8,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
1999,5.5,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
1990,6.3,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
1982,6.8,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
1975,6.5,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
1968,5.3,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
1962,4.6,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
1954,4.1,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
1946,4.4,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
1936,5.3,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
1931,6.6,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
1926,6,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
1921,3.9,Part dans la population totale (%),% of total population,Etrangers,Foreigners,,
